"","player","age","season","Transfer"
"175","Giannelli Imbula",26,"2018-2019",1
"176","Rafael Leão",20,"2018-2019",1
"177","José Machín",22,"2018-2019",1
"178","Simone Colombi",28,"2018-2019",1
"179","Fabrizio Alastra",21,"2018-2019",1
"180","Kastriot Dermaku",27,"2018-2019",1
"181","Michele Fornasier",25,"2018-2019",1
"182","Gastón Brugman",26,"2018-2019",1
"183","Leonardo Benedetti",19,"2018-2019",1
"184","Tommaso Augello",24,"2018-2019",1
"185","Mohamed Fares",23,"2018-2019",1
"186","Mattia Valoti",25,"2018-2019",1
"187","Davide Mazzocco",23,"2018-2019",1
"188","Koffi Djidji",26,"2018-2019",1
"189","Ilija Nestorovski",29,"2018-2019",1
"190","Mato Jajalo",31,"2018-2019",1
"191","Nícolas",31,"2018-2019",1
"192","Adrien Tamèze",25,"2018-2019",1
"193","Raoul Bellanova",19,"2018-2019",1
"194","Sofyan Amrabat",23,"2018-2019",1
"195","Adama Soumaoro",27,"2018-2019",1
"196","Matteo Lovato",19,"2018-2019",1
"197","Emanuele Cicerelli",25,"2018-2019",1
"198","Biagio Morrone",19,"2018-2019",1
"199","Amir Rrahmani",25,"2018-2019",1
"200","Gastón Brugman",27,"2018-2019",1
"201","Felix Passlack",21,"2018-2019",1
"202","Christopher Nkunku",21,"2018-2019",1
"203","Moussa Diaby",19,"2018-2019",1
"204","Marcus Thuram",21,"2018-2019",1
"205","Ramy Bensebaini",24,"2018-2019",1
"206","Kevin Trapp",29,"2018-2019",1
"207","Ronaël Pierre-Gabriel",21,"2018-2019",1
"208","Chang-hoon Kwon",25,"2018-2019",1
"209","Tomas Koubek",26,"2018-2019",1
"210","Ellyes Skhiri",24,"2018-2019",1
"211","Serhou Guirassy",23,"2018-2019",1
"212","Neven Subotic",30,"2018-2019",1
"213","Jean-Kévin Augustin",22,"2018-2019",1
"214","Lucas Tousart",22,"2018-2019",1
"215","Ralf Fährmann",31,"2018-2019",1
"216","Toni Leistner",29,"2018-2019",1
"217","Dennis Srbeny",25,"2018-2019",1
"218","Gabriel",22,"2019-2020",1
"219","Rúnar Alex Rúnarsson",25,"2019-2020",1
"220","William Saliba",19,"2019-2020",1
"221","Ainsley Maitland-Niles",23,"2019-2020",1
"222","Ollie Watkins",24,"2019-2020",1
"223","Bertrand Traoré",25,"2019-2020",1
"224","Matty Cash",23,"2019-2020",1
"225","James Bree",22,"2019-2020",1
"226","Conor Hourihane",30,"2019-2020",1
"227","Scott Hogan",28,"2019-2020",1
"228","Lovre Kalinic",30,"2019-2020",1
"229","Andre Green",22,"2019-2020",1
"230","Christian Walton",24,"2019-2020",1
"231","Anthony Knockaert",28,"2019-2020",1
"232","Matt Clarke",24,"2019-2020",1
"233","Matt Clarke",23,"2019-2020",1
"234","Jan Mlakar",21,"2019-2020",1
"235","Ben White",22,"2019-2020",1
"236","Edouard Mendy",28,"2019-2020",1
"237","Malang Sarr",21,"2019-2020",1
"238","Thiago Silva",35,"2019-2020",1
"239","Ruben Loftus-Cheek",25,"2019-2020",1
"240","Jake Clarke-Salter",23,"2019-2020",1
"241","Matt Miazga",25,"2019-2020",1
"242","Izzy Brown",24,"2019-2020",1
"243","Tiemoué Bakayoko",25,"2019-2020",1
"244","Izzy Brown",23,"2019-2020",1
"245","Jake Clarke-Salter",22,"2019-2020",1
"246","Eberechi Eze",22,"2019-2020",1
"247","Jack Butland",27,"2019-2020",1
"248","Nathan Ferguson",19,"2019-2020",1
"249","Connor Wickham",27,"2019-2020",1
"250","Jarrad Branthwaite",18,"2019-2020",1
"251","Yannick Bolasie",32,"2019-2020",1
"252","Anthony Gordon",20,"2019-2020",1
"253","Beni Baningime",22,"2019-2020",1
"254","Jonas Lössl",31,"2019-2020",1
"255","Kieran Dowell",22,"2019-2020",1
"256","Matthew Pennington",25,"2019-2020",1
"257","Terence Kongolo",26,"2019-2020",1
"258","Kenny Tete",24,"2019-2020",1
"259","Antonee Robinson",23,"2019-2020",1
"260","Joachim Andersen",24,"2019-2020",1
