"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Matt Phillips","2019-2020",3,2,9,5,2,0,2,0,0,698,5234,2469,99,47,30,53,45,781
"Bruno Martins Indi","2019-2020",0,0,2,2,0,0,0,0,0,643,2618,1102,5,13,2,12,9,846
"Danny Graham","2019-2020",1,0,3,2,0,0,0,1,0,199,714,220,7,7,5,34,6,316
"Jayden Stockley","2019-2020",6,0,4,3,0,0,0,1,0,145,493,108,5,1,1,20,14,396
"Leonardo da Silva Lopes","2019-2020",2,1,5,5,0,0,0,0,0,820,4828,2340,41,38,2,44,24,876
"Tom Lawrence","2019-2020",12,2,14,10,1,0,1,2,0,1099,7085,3482,101,102,33,102,46,1225
"Seán Maguire","2019-2020",18,2,8,4,0,0,0,4,0,791,4891,1916,79,43,45,116,70,991
"Chema","2019-2020",0,1,2,2,0,0,0,0,0,122,559,352,5,4,0,4,2,159
"Bambo Diaby","2019-2020",0,0,1,1,0,0,0,0,0,432,2552,1496,9,3,2,16,7,432
"Sam Hutchinson","2019-2020",1,0,1,1,0,0,0,0,0,522,2468,1036,11,9,0,10,12,575
"Matt Grimes","2019-2020",1,3,14,7,7,0,0,0,0,1686,8660,4603,67,51,1,26,32,2045
"Fraizer Campbell","2019-2020",4,2,4,2,1,0,0,1,0,195,1120,359,15,15,5,39,23,274
"Kamil Grosicki","2019-2020",5,3,19,11,2,1,3,2,0,847,7264,4216,175,86,92,60,53,965
"Rudy Gestede","2019-2020",0,0,1,1,0,0,0,0,0,68,200,67,3,1,1,19,5,169
"Ryan Manning","2019-2020",8,1,23,17,1,1,3,1,0,1227,6975,4043,105,67,11,47,32,1678
"George Honeyman","2019-2020",4,1,5,3,2,0,0,0,0,502,2467,989,33,22,3,38,23,606
"Danny Fox","2019-2020",1,0,1,0,1,0,0,0,0,183,865,580,5,3,0,1,1,187
"Marlon Pack","2019-2020",3,0,8,5,3,0,0,0,0,872,4114,1509,14,25,1,11,15,881
"Carl Jenkinson","2019-2020",0,0,1,1,0,0,0,0,0,181,1133,704,16,14,4,4,3,207
"Sam Winnall","2019-2020",3,0,1,0,0,0,1,0,0,102,435,156,4,7,2,16,13,145
"Jon Toral","2019-2020",0,2,3,2,0,0,1,0,0,157,819,398,11,10,3,20,9,193
"Rico Henry","2019-2020",5,0,4,4,0,0,0,0,0,1415,7709,4578,123,82,25,65,45,1678
"Paddy McNair","2019-2020",10,1,6,4,1,0,0,1,0,1097,6981,3509,71,63,15,58,49,1152
"Christopher Schindler","2019-2020",1,0,2,2,0,0,0,0,0,1185,6942,4003,16,6,0,16,4,1452
"Jamie Paterson","2019-2020",3,0,6,3,2,1,0,0,0,567,3584,1417,44,28,15,38,26,636
"Lee Evans","2019-2020",0,0,3,2,0,0,1,0,0,588,2769,978,15,12,4,30,18,669
"Borja Bastón","2019-2020",2,0,1,1,0,0,0,0,0,282,1307,292,9,9,3,46,30,372
"Jamie Shackleton","2019-2020",0,0,0,0,0,0,0,0,0,134,750,347,11,6,2,13,8,176
"Krystian Bielik","2019-2020",1,0,0,0,0,0,0,0,0,612,3879,2358,23,16,0,27,17,704
"Matthew Clarke","2019-2020",0,1,1,1,0,0,0,0,0,1460,7210,4311,24,24,4,21,7,1589
"Martyn Waghorn","2019-2020",12,2,10,4,0,0,3,3,0,677,3580,1219,39,28,23,87,48,832
"Toby Sibbick","2019-2020",1,0,0,0,0,0,0,0,0,346,1838,847,17,10,8,28,10,342
"Nuno da Costa","2019-2020",2,1,1,0,0,0,0,1,0,89,577,256,10,7,2,21,10,107
"Harry Cornick","2019-2020",8,0,8,4,0,1,0,3,0,709,6134,2676,115,41,44,98,75,702
"Elliot Simoes","2019-2020",3,0,0,0,0,0,0,0,0,180,1070,454,14,12,7,28,14,199
"Jonathan Hogg","2019-2020",6,3,4,4,0,0,0,0,0,865,4371,1765,21,18,3,39,23,1160
"Liam Palmer","2019-2020",3,1,6,4,1,0,1,0,0,727,3421,1921,41,29,7,20,15,728
"Mouhamadou-Naby Sarr","2019-2020",1,1,8,5,0,0,1,1,1,556,3421,2236,23,19,1,13,5,672
"Àngel Rangel","2019-2020",0,1,1,1,0,0,0,0,0,440,2422,1366,24,16,3,18,7,736
"Patrick Bamford","2019-2020",10,2,6,2,0,0,3,1,0,529,2414,918,35,15,18,100,48,750
"Curtis Nelson","2019-2020",0,0,1,0,0,0,1,0,0,548,2628,1220,5,8,0,12,4,555
"Barry Bannan","2019-2020",0,1,13,9,4,0,0,0,0,1574,7569,3212,45,59,4,46,29,1687
"Sonny Bradley","2019-2020",1,0,2,2,0,0,0,0,0,1114,6204,4116,25,6,1,13,4,1196
"James Collins","2019-2020",11,2,5,2,0,0,1,2,0,798,3692,1000,34,30,11,99,47,1042
"Badou Ndiaye","2019-2020",3,0,0,0,0,0,0,0,0,230,1256,661,10,8,1,14,5,264
"Massimo Luongo","2019-2020",5,0,2,1,0,0,1,0,0,432,2357,1011,27,24,8,26,22,454
"Daniel Batty","2019-2020",0,0,1,1,0,0,0,0,0,552,2793,1262,18,11,2,31,19,637
"Michael Sollbauer","2019-2020",0,0,2,2,0,0,0,0,0,347,1884,1152,9,6,1,11,2,370
"Ivan Cavaleiro","2019-2020",1,0,13,9,1,2,1,0,0,1095,8060,3650,136,76,53,126,101,1352
"Sam Clucas","2019-2020",5,2,9,4,3,1,1,0,0,958,4950,2190,47,32,13,59,41,1237
"Richard Stearman","2019-2020",0,0,0,0,0,0,0,0,0,402,2057,1280,6,3,0,6,2,490
"Florent Hadergjonaj","2019-2020",1,1,2,2,0,0,0,0,0,430,2191,1211,33,21,3,13,7,573
"Marc Pugh","2019-2020",2,0,3,2,0,0,0,1,0,324,1977,817,29,16,9,34,22,427
"Kilian Ludewig","2019-2020",1,0,2,2,0,0,0,0,0,316,1694,815,23,20,9,32,8,357
"Djed Spence","2019-2020",2,3,1,1,0,0,0,0,0,392,2853,1537,42,27,10,35,28,381
"Jon Gorenc Stanković","2019-2020",1,0,0,0,0,0,0,0,0,506,2937,1995,9,2,1,3,3,561
"Angus MacDonald","2019-2020",0,0,0,0,0,0,0,0,0,115,610,398,2,0,0,0,0,126
"Macauley Bonne","2019-2020",1,0,7,6,0,1,0,0,0,333,1452,493,26,8,11,59,26,532
"Tom Barkhuizen","2019-2020",8,2,11,7,0,2,1,1,0,583,4621,2156,82,40,52,90,24,721
"Herbie Kane","2019-2020",1,0,1,1,0,0,0,0,0,139,726,263,3,7,1,5,10,147
"Sam Baldock","2019-2020",2,0,3,2,0,1,0,0,0,181,946,317,12,8,7,27,11,212
"Leandro Bacuna","2019-2020",2,1,5,3,0,0,2,0,0,685,3925,1731,29,29,7,34,43,648
"Lucas João","2019-2020",6,0,8,5,0,2,0,1,0,306,1749,593,20,22,6,52,33,386
"Martin Cranie","2019-2020",1,1,5,5,0,0,0,0,0,500,1985,924,8,11,0,14,5,519
"Paul Gallagher","2019-2020",0,0,13,5,4,0,4,0,0,640,2521,961,9,14,5,17,1,990
"Adam Forshaw","2019-2020",2,0,2,1,0,0,1,0,0,213,1098,494,6,8,0,7,9,328
"Joe Allen","2019-2020",7,4,10,6,0,1,2,1,0,781,4126,1843,45,37,12,58,36,901
"Shane Ferguson","2019-2020",1,0,6,4,2,0,0,0,0,349,1834,953,32,22,1,12,18,418
"Harry Toffolo","2019-2020",4,2,8,3,3,1,0,1,0,628,3351,1928,51,46,4,22,4,713
"Patrick Schmidt","2019-2020",0,0,3,1,0,1,1,0,0,51,261,101,3,3,1,7,4,73
"Sam Morsy","2019-2020",2,3,6,5,0,1,0,0,0,1337,7445,3713,53,60,5,30,26,1497
"Cameron McGeehan","2019-2020",0,0,1,0,0,0,1,0,0,257,892,399,7,9,2,19,7,341
"Julian Börner","2019-2020",0,0,3,3,0,0,0,0,0,801,4406,2541,19,12,0,21,9,792
"Ashley Williams","2019-2020",0,0,1,1,0,0,0,0,0,841,4502,2849,18,8,3,12,2,1028
"Joe Worrall","2019-2020",0,0,5,5,0,0,0,0,0,1027,5185,2961,13,6,0,16,1,1209
"Eddie Nketiah","2019-2020",6,0,3,1,0,0,1,1,0,112,782,290,14,4,9,25,11,134
"Reece Burke","2019-2020",0,1,1,1,0,0,0,0,0,820,4973,3070,21,10,1,9,0,938
"Tyler Blackett","2019-2020",0,0,7,6,0,1,0,0,0,469,2375,1350,24,21,5,12,7,523
"Ben Pearson","2019-2020",2,1,4,3,0,0,1,0,0,1034,5214,2597,32,40,6,29,11,1291
"George Lapslie","2019-2020",0,0,2,1,0,0,1,0,0,76,367,188,2,3,0,3,2,95
"James Chester","2019-2020",0,0,1,0,0,0,1,0,0,272,1502,886,3,2,1,6,6,291
"Brad Potts","2019-2020",1,0,1,1,0,0,0,0,0,322,2120,849,29,13,9,28,22,423
"Tom Cairney","2019-2020",5,0,13,12,0,0,1,0,0,1497,8273,3586,100,73,21,60,47,2144
"Nathan Collins","2019-2020",0,0,0,0,0,0,0,0,0,134,857,363,6,4,2,1,1,140
"Dimitri Cavaré","2019-2020",2,0,3,2,0,1,0,0,0,300,1984,1067,29,18,5,21,7,291
"Zak Vyner","2019-2020",0,0,1,1,0,0,0,0,0,232,1054,645,6,9,1,2,1,236
"Pelly Ruddock Mpanzu","2019-2020",6,0,9,7,0,0,1,1,0,1123,6557,2555,59,40,14,100,80,1159
"Tom Bradshaw","2019-2020",6,0,5,2,0,1,1,1,0,499,2006,508,19,11,11,99,34,690
"Jake Cooper","2019-2020",2,0,3,3,0,0,0,0,0,942,5686,3562,29,19,0,16,10,1090
"Juninho Bacuna","2019-2020",6,1,16,10,2,1,1,2,0,851,5375,2652,74,64,17,68,66,978
"Andre Wisdom","2019-2020",0,0,3,3,0,0,0,0,0,588,3013,1977,10,8,1,5,6,712
"Mason Bennett","2019-2020",1,2,2,2,0,0,0,0,0,168,1053,423,17,14,4,19,23,198
"Sammy Ameobi","2019-2020",5,3,14,7,0,4,2,0,1,1001,7589,3395,138,93,34,130,102,1128
"Ilias Chair","2019-2020",5,3,13,11,0,1,0,1,0,823,5134,2428,85,57,27,65,43,1001
"Joe Garner","2019-2020",7,0,4,3,0,0,1,0,0,134,484,145,6,3,5,26,3,231
"Jaden Brown","2019-2020",1,0,0,0,0,0,0,0,0,274,1594,849,19,11,4,19,10,359
"Lee Peltier","2019-2020",0,0,2,1,1,0,0,0,0,338,1461,525,9,14,1,4,6,322
"Joe Bryan","2019-2020",3,2,12,9,0,1,1,1,0,1149,6728,3660,99,61,14,36,32,1631
"Jazz Richards","2019-2020",0,0,1,1,0,0,0,0,0,245,1107,520,11,9,1,7,4,235
"Charlie Adam","2019-2020",1,0,3,2,1,0,0,0,0,354,1878,979,14,23,1,18,9,397
"Sam Surridge","2019-2020",2,0,1,0,0,0,1,0,0,143,733,323,18,6,13,24,13,198
"Matheus Pereira","2019-2020",14,1,28,17,6,1,1,3,0,1340,7755,3263,115,78,33,86,68,1627
"Nahki Wells","2019-2020",7,1,8,6,0,1,1,0,0,639,3113,1073,42,23,20,85,48,846
"Stewart Downing","2019-2020",1,0,12,9,3,0,0,0,0,1391,8731,3944,90,61,9,29,21,1694
"Nathan Baker","2019-2020",0,0,1,0,0,0,1,0,0,614,3340,2043,9,4,0,13,6,836
"Jamal Lowe","2019-2020",2,3,10,10,0,0,0,0,0,797,5336,2181,83,55,38,112,63,816
"Josh Murphy","2019-2020",7,1,4,2,2,0,0,0,0,371,3235,1393,58,31,28,37,47,353
"Anthony Pilkington","2019-2020",2,1,4,2,0,2,0,0,0,205,1137,390,16,7,4,20,11,219
"John Buckley","2019-2020",5,0,4,1,0,1,0,2,0,228,1341,431,16,15,6,17,12,261
"Dion Sanderson","2019-2020",1,0,2,2,0,0,0,0,0,164,876,344,10,8,2,12,10,137
"Nathaniel Mendez-Laing","2019-2020",3,2,13,10,0,3,0,0,0,525,4472,1998,73,42,27,45,40,547
"Oghenekaro Etebo","2019-2020",1,2,0,0,0,0,0,0,0,246,1773,759,17,11,4,9,14,277
"Jón Daði Böðvarsson","2019-2020",3,1,6,3,0,1,0,2,0,289,1238,342,10,13,6,52,29,385
"Benik Afobe","2019-2020",0,0,0,0,0,0,0,0,0,138,900,258,15,10,6,28,13,188
"Alessio da Cruz","2019-2020",2,0,2,0,2,0,0,0,0,185,1390,568,26,7,12,16,21,189
"Korey Smith","2019-2020",0,1,1,1,0,0,0,0,0,535,2210,1182,13,13,3,27,16,598
"Jason Knight","2019-2020",4,0,2,1,0,0,0,1,0,516,2798,1185,52,31,18,63,28,567
"Jake Livermore","2019-2020",2,7,11,7,1,0,1,0,2,1133,4954,2316,41,35,8,48,26,1326
"Clarke Oduor","2019-2020",1,1,1,1,0,0,0,0,0,300,1796,950,24,20,7,17,12,322
"Ryan Nyambe","2019-2020",1,0,4,3,0,1,0,0,0,824,5268,2843,89,59,17,40,40,938
"Liam Moore","2019-2020",0,1,2,2,0,0,0,0,0,1119,5648,2676,9,10,1,22,5,1258
"Chris Willock","2019-2020",3,1,2,1,0,0,1,0,0,259,2051,1038,41,24,16,15,23,269
"Andy Yiadom","2019-2020",8,1,5,4,0,0,1,0,0,662,4546,2427,70,55,19,39,26,749
"Alfie Doughty","2019-2020",1,0,8,6,0,1,1,0,0,573,4836,2486,86,50,29,62,25,622
"Darnell Fisher","2019-2020",10,0,11,7,2,0,0,2,0,565,2598,1218,28,27,6,33,12,761
"Darren Pratley","2019-2020",2,1,2,2,0,0,0,0,0,522,2812,979,16,20,4,33,17,618
"Louie Sibley","2019-2020",1,1,4,2,0,1,0,1,0,210,1460,660,24,18,10,30,13,194
"Pablo Hernández","2019-2020",2,3,23,16,2,2,2,0,1,1140,7005,3879,116,71,40,57,30,1771
"Derrick Williams","2019-2020",3,0,0,0,0,0,0,0,0,575,3364,2167,12,15,0,10,3,630
"Ryan Yates","2019-2020",5,0,2,1,0,0,0,1,0,279,1135,498,11,7,1,23,11,398
"Chris Martin","2019-2020",2,0,9,9,0,0,0,0,0,488,1603,476,8,21,5,44,20,734
"George Pușcaș","2019-2020",1,0,8,3,0,3,2,0,0,486,3042,981,42,27,22,118,44,582
"Conor Gallagher","2019-2020",18,0,19,13,1,1,1,3,0,1145,6440,2166,49,50,23,110,80,1290
"Lewis Wing","2019-2020",3,1,6,2,1,1,1,1,0,903,4599,2061,41,21,13,40,42,1019
"Filip Krovinović","2019-2020",8,2,13,7,0,1,1,3,1,997,5617,2557,67,56,13,30,31,1240
"Lee Wallace","2019-2020",0,0,0,0,0,0,0,0,0,284,1409,871,10,8,1,4,3,411
"Chuks Aneke","2019-2020",2,0,3,2,0,0,0,1,0,168,982,453,18,13,10,34,13,208
"Nathan Byrne","2019-2020",4,0,7,7,0,0,0,0,0,1145,7347,4164,129,77,17,52,37,1271
"Michael Olise","2019-2020",3,0,4,2,1,0,0,1,0,441,3006,1505,38,37,10,26,9,460
"George Saville","2019-2020",3,2,2,1,0,0,1,0,0,598,3085,1395,23,28,5,37,18,654
"Chey Dunkley","2019-2020",1,0,2,1,0,0,0,1,0,335,1434,691,1,1,0,10,6,356
"Yoann Barbet","2019-2020",0,2,8,5,0,0,1,0,2,916,5189,3566,22,8,2,9,4,1167
"Yakou Méïte","2019-2020",8,1,4,2,0,0,1,1,0,519,3783,1655,57,40,23,84,39,646
"Aiden O'Brien","2019-2020",2,0,2,2,0,0,0,0,0,135,852,266,10,6,3,17,10,137
"Joe Lolley","2019-2020",7,3,17,8,5,1,1,1,1,1106,8921,4907,159,146,53,66,70,1224
"Albert Adomah","2019-2020",5,0,4,4,0,0,0,0,0,381,2968,1574,66,37,8,48,43,368
"Michael Morrison","2019-2020",2,0,2,1,0,0,0,1,0,1000,4562,2366,13,11,1,6,6,1190
"Pedro Pereira","2019-2020",0,0,3,2,1,0,0,0,0,311,1660,785,18,22,2,29,9,425
"Aiden McGeady","2019-2020",1,0,0,0,0,0,0,0,0,167,1148,443,18,11,7,7,8,165
"Jacques Maghoma","2019-2020",3,3,3,2,0,0,0,1,0,264,2271,985,44,24,10,28,21,266
"Callum O'Dowda","2019-2020",2,1,1,1,0,0,0,0,0,414,3385,1413,50,23,15,40,28,496
"Jayson Molumby","2019-2020",5,0,3,1,0,0,2,0,0,792,4008,1509,29,23,0,54,41,888
"Jacob Brown","2019-2020",8,1,18,12,0,2,2,2,0,744,4581,2024,86,41,24,99,78,976
"Danny Ward","2019-2020",0,0,6,3,0,2,1,0,0,183,902,297,11,6,7,27,12,277
"Marc Guéhi","2019-2020",0,0,0,0,0,0,0,0,0,476,2617,1759,13,6,1,6,2,486
"Richard Keogh","2019-2020",0,0,0,0,0,0,0,0,0,306,1685,1042,9,3,2,0,4,341
"Callum Paterson","2019-2020",9,1,2,1,0,0,0,1,0,300,1066,364,13,11,4,43,15,507
"Cauley Woodrow","2019-2020",5,0,5,3,0,0,1,1,0,1013,4634,1601,47,41,12,116,63,1383
"Kal Naismith","2019-2020",0,0,2,2,0,0,0,0,0,738,4913,3044,47,38,6,20,15,792
"Michael Jacobs","2019-2020",6,0,7,4,1,1,1,0,0,393,2449,1124,41,24,19,39,14,457
"Lucas Boyé","2019-2020",1,0,1,0,0,1,0,0,0,238,1817,764,26,17,7,36,19,240
"Jordan Cousins","2019-2020",3,1,1,1,0,0,0,0,0,244,1041,392,7,4,0,10,15,291
"Matty Pearson","2019-2020",1,0,2,1,0,0,0,1,0,1121,6557,4296,29,11,1,18,7,1188
"Semi Ajayi","2019-2020",0,0,2,2,0,0,0,0,0,1155,6093,3797,19,17,2,16,14,1223
"Kazenga LuaLua","2019-2020",10,1,5,2,0,0,0,2,1,463,3815,1602,65,38,25,44,47,430
"Aldo Kalulu","2019-2020",0,0,2,1,0,0,1,0,0,110,553,230,10,5,8,15,8,116
"Adam Matthews","2019-2020",0,0,3,3,0,0,0,0,0,617,3869,2374,50,38,2,9,7,679
"David Davis","2019-2020",1,0,2,2,0,0,0,0,0,344,1465,407,6,1,0,20,12,380
"Gary Gardner","2019-2020",3,2,4,3,0,1,0,0,0,539,3333,1737,40,33,2,31,18,670
"Luke Bolton","2019-2020",0,0,4,2,0,2,0,0,0,250,1903,999,30,19,6,21,22,270
"Conor Masterson","2019-2020",0,0,0,0,0,0,0,0,0,394,2218,1266,5,2,0,6,1,506
"Josh Windass","2019-2020",2,0,4,1,0,1,2,0,0,391,2495,1097,42,22,26,28,18,439
"Greg Cunningham","2019-2020",1,0,1,1,0,0,0,0,0,200,908,533,11,11,2,9,8,266
"Liam Cooper","2019-2020",0,0,1,1,0,0,0,0,0,1287,6517,4001,15,12,0,16,6,1640
"Marvin Johnson","2019-2020",2,3,8,5,1,0,1,1,0,718,4875,2393,77,49,17,43,36,722
"Joe Bennett","2019-2020",1,3,12,8,1,0,1,0,2,837,3556,1566,34,26,7,25,27,848
"Todd Kane","2019-2020",3,0,3,2,1,0,0,0,0,486,2973,1671,46,31,10,14,14,792
"Kenneth Dougall","2019-2020",0,0,0,0,0,0,0,0,0,219,909,382,5,8,1,7,4,275
"Hayden Coulson","2019-2020",13,0,4,3,0,0,0,1,0,584,4378,2616,91,62,11,49,19,581
"Christian Nørgaard","2019-2020",2,2,11,9,0,0,2,0,0,1166,5920,3186,36,35,2,36,24,1603
"Ben Watson","2019-2020",2,4,8,7,1,0,0,0,0,1222,6410,3186,33,18,1,39,15,1556
"Tomáš Kalas","2019-2020",1,0,0,0,0,0,0,0,0,483,2468,1408,13,6,3,9,3,655
"Bradley Johnson","2019-2020",1,0,3,2,0,0,1,0,0,732,3109,1425,15,13,1,31,18,935
"Florian Jozefzoon","2019-2020",2,0,1,1,0,0,0,0,0,152,1163,595,30,12,5,11,9,165
"Ivan Šunjić","2019-2020",2,2,3,3,0,0,0,0,0,776,3524,1551,21,17,2,47,41,921
"Kerim Mrabti","2019-2020",1,0,3,2,0,1,0,0,0,215,1067,404,13,12,8,31,20,255
"Lewis Macleod","2019-2020",1,0,0,0,0,0,0,0,0,241,775,316,1,5,0,8,5,243
"Yan Dhanda","2019-2020",2,0,4,2,0,0,1,1,0,297,1847,720,19,22,3,22,17,303
"Famara Diedhiou","2019-2020",8,1,8,4,0,0,2,2,0,571,2703,785,23,27,9,112,66,847
"Jack Marriott","2019-2020",2,1,6,3,0,0,1,2,0,202,1214,524,21,9,11,27,21,239
"Elliot Lee","2019-2020",3,0,2,0,0,1,1,0,0,208,1076,412,8,10,1,15,14,205
"Ethan Pinnock","2019-2020",0,0,6,6,0,0,0,0,0,1380,8652,5763,23,9,0,11,8,1545
"Kyle Naughton","2019-2020",0,2,1,1,0,0,0,0,0,868,3692,2042,32,20,5,18,12,1054
"Tommy Smith","2019-2020",5,0,10,4,4,0,1,1,0,684,3302,1672,32,30,2,19,7,982
"Callum Styles","2019-2020",4,1,0,0,0,0,0,0,0,244,1552,817,27,20,7,25,16,273
"Andy Rinomhota","2019-2020",14,4,6,1,0,0,0,4,1,688,4198,1974,39,32,3,43,27,798
"Jake Forster-Caskey","2019-2020",0,0,5,3,1,0,1,0,0,110,474,194,5,2,0,11,5,151
"Josh Bowler","2019-2020",8,1,4,2,0,0,1,1,0,304,2700,1261,56,27,29,41,39,300
"Han-Noah Massengo","2019-2020",3,0,0,0,0,0,0,0,0,484,2663,1015,13,16,2,51,30,570
"Ryan Woods","2019-2020",3,0,2,0,2,0,0,0,0,641,2905,988,11,12,1,24,23,695
"Ben Thompson","2019-2020",7,2,3,3,0,0,0,0,0,413,2418,1076,36,34,11,49,33,457
"Ashley Fletcher","2019-2020",8,0,14,9,0,2,0,3,0,602,4050,1663,65,33,29,95,51,770
"Lee Tomlin","2019-2020",13,0,18,9,2,2,2,3,0,632,3548,1637,44,51,13,55,30,675
"Wayne Rooney","2019-2020",3,0,8,5,3,0,0,0,0,815,3292,1630,12,16,1,20,22,922
"Mads Juel Andersen","2019-2020",0,0,2,2,0,0,0,0,0,912,5708,3530,13,6,2,23,4,910
"Scott Malone","2019-2020",1,0,2,2,0,0,0,0,0,374,1975,1029,22,16,4,7,5,463
"Danny Batth","2019-2020",1,0,2,1,0,0,1,0,0,995,5254,2916,7,5,0,20,3,1221
"Mallik Wilks","2019-2020",14,0,4,0,0,0,1,3,0,445,2889,1547,56,37,36,70,47,494
"Albie Morgan","2019-2020",1,0,3,2,0,0,1,0,0,303,1690,877,14,8,4,18,12,391
"George Byers","2019-2020",1,1,1,1,0,0,0,0,0,622,2696,1199,29,25,4,32,15,934
"Denis Odoi","2019-2020",2,0,3,2,0,1,0,0,0,956,5502,2782,44,30,2,30,12,1243
"Joey Pelupessy","2019-2020",0,1,0,0,0,0,0,0,0,164,675,184,1,1,0,7,3,175
"Omar Richards","2019-2020",2,0,1,0,0,0,1,0,0,623,3238,1780,45,29,11,26,12,655
"David Nugent","2019-2020",1,0,2,1,0,0,1,0,0,207,936,298,9,9,3,42,13,363
"Mahlon Romeo","2019-2020",12,1,5,4,0,0,0,1,0,874,5999,3471,116,67,16,56,31,1008
"Jordan Storey","2019-2020",0,0,0,0,0,0,0,0,0,197,976,531,3,0,0,3,2,224
"Hal Robson-Kanu","2019-2020",6,0,6,4,0,0,1,1,0,545,3432,1169,58,48,18,105,63,623
"Ryan Leonard","2019-2020",1,1,3,1,1,0,1,0,0,241,1036,357,7,10,2,15,4,275
"Kevin Stewart","2019-2020",1,1,3,2,0,0,1,0,0,513,3090,1378,15,15,2,31,14,522
"Alex Pritchard","2019-2020",2,1,4,3,0,0,1,0,0,365,2036,738,23,29,9,32,21,427
"Niclas Eliasson","2018-2019",3,3,8,7,1,0,0,0,0,495,3288,1321,62,25,10,69,36,554
"Onel Hernández","2018-2019",12,1,26,13,0,5,5,2,1,972,7338,4067,192,59,105,89,84,1032
"Morgan Fox","2018-2019",1,0,5,4,0,1,0,0,0,454,1973,932,19,25,2,15,13,523
"Elliott Bennett","2018-2019",6,0,12,9,0,1,1,1,0,982,5178,2451,51,63,4,49,37,1220
"Bright Osayi-Samuel","2018-2019",5,1,1,0,0,0,1,0,0,249,2410,1277,55,31,38,28,38,257
"Nick Powell","2018-2019",13,1,10,7,0,0,2,1,0,485,3087,1439,36,43,3,53,31,650
"Atdhe Nuhiu","2018-2019",3,2,7,5,0,0,1,1,0,469,2240,535,18,13,8,68,63,703
"Freddie Sears","2018-2019",2,0,6,6,0,0,0,0,0,435,2983,1355,58,27,17,46,19,489
"Teemu Pukki","2018-2019",6,0,20,16,0,1,2,1,0,688,4138,2036,104,36,55,71,47,823
"Janoi Donacien","2018-2019",0,0,0,0,0,0,0,0,0,190,659,299,6,3,1,6,7,198
"Jonny Howson","2018-2019",4,2,13,10,0,3,0,0,0,1169,7545,4259,113,102,9,60,43,1275
"Ryan Shotton","2018-2019",1,2,5,2,2,0,0,0,1,585,2746,1335,39,36,2,19,6,716
"George Boyd","2018-2019",1,2,3,2,0,0,1,0,0,235,964,429,16,8,6,22,12,270
"Charlie Mulgrew","2018-2019",2,0,4,1,0,0,1,2,0,681,4372,2913,8,3,0,8,4,712
"Josh Magennis","2018-2019",4,0,5,2,0,0,3,0,0,400,2014,637,27,18,7,74,35,894
"Lukas Nmecha","2018-2019",16,0,9,4,0,0,3,2,0,615,3749,1455,51,43,24,105,60,718
"John Lundstram","2018-2019",0,2,1,1,0,0,0,0,0,125,573,233,4,2,2,4,1,179
"Matthew Pennington","2018-2019",3,1,1,1,0,0,0,0,0,700,3551,1909,15,9,2,18,7,751
"Joe Rothwell","2018-2019",2,0,11,4,1,2,3,1,0,558,4596,2046,59,45,24,42,30,642
"Craig Bryson","2018-2019",5,0,2,2,0,0,0,0,0,651,3095,1210,19,25,5,40,22,876
"Craig Gardner","2018-2019",0,1,2,2,0,0,0,0,0,201,846,287,3,13,0,11,4,258
"Sergi Canós","2018-2019",4,2,8,8,0,0,0,0,0,710,5390,2929,102,64,38,76,53,801
"Reece James","2018-2019",7,2,8,5,2,1,0,0,0,1212,6804,3404,69,57,8,39,37,1326
"Samuel Sáiz","2018-2019",3,1,10,9,0,1,0,0,0,489,3558,1593,56,45,5,29,39,647
"Joel Asoro","2018-2019",2,0,2,1,0,0,0,1,0,122,1022,490,16,7,7,15,16,125
"Tommy Elphick","2018-2019",1,0,1,0,0,0,1,0,0,584,2601,1342,2,1,0,6,5,721
"Mario Vrančić","2018-2019",7,3,15,10,1,0,2,1,1,731,4431,2620,51,37,5,25,17,903
"Murray Wallace","2018-2019",1,0,1,1,0,0,0,0,0,304,1473,656,4,11,0,14,7,302
"Pontus Jansson","2018-2019",0,4,1,1,0,0,0,0,0,1217,7054,4306,27,13,1,13,11,1620
"Conor McLaughlin","2018-2019",0,0,0,0,0,0,0,0,0,99,421,204,4,5,0,3,5,119
"Enda Stevens","2018-2019",5,2,9,8,0,0,0,1,0,1263,6877,4093,127,82,35,57,35,1652
"Andrew Hughes","2018-2019",2,0,5,3,0,0,1,1,0,751,3297,1614,34,25,2,20,11,904
"Kyle Bartley","2018-2019",0,0,2,1,0,0,1,0,0,653,3852,2090,22,6,1,24,6,849
"Collin Quaner","2018-2019",7,0,6,4,0,0,0,2,0,277,1261,467,12,15,7,50,23,354
"Geoff Cameron","2018-2019",0,0,1,1,0,0,0,0,0,267,1292,612,6,9,0,8,9,289
"Grant Ward","2018-2019",2,2,3,1,2,0,0,0,0,290,1546,583,19,13,0,27,18,283
"Callum McManaman","2018-2019",5,0,1,0,0,0,1,0,0,131,1053,582,26,12,11,16,8,152
"Ezgjan Alioski","2018-2019",7,2,12,6,3,0,2,1,0,1090,5698,2991,68,64,14,81,45,1502
