"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Pablo Chavarría","2018-2019",3,0,5,5,0,0,0,0,0,335,1754,614,28,12,14,65,22,454
"Aleksandar Trajkovski","2018-2019",9,3,17,7,5,1,2,1,1,912,6926,3612,124,96,28,104,68,1059
"Bruno Martella","2018-2019",0,0,5,5,0,0,0,0,0,679,3895,2159,56,39,3,33,17,787
"Mario Balotelli","2018-2019",8,0,6,5,0,0,1,0,0,387,1716,771,27,30,8,40,15,531
"Lukas Lerager","2018-2019",1,3,3,3,0,0,0,0,0,415,1654,776,18,11,4,16,8,478
"Antonio Barreca","2018-2019",0,0,1,1,0,0,0,0,0,154,893,434,15,8,4,12,6,173
"Samuel Di Carmine","2018-2019",6,0,7,4,0,0,1,2,0,227,884,287,14,5,4,31,16,393
"Davide Faraoni","2018-2019",3,2,4,3,1,0,0,0,0,915,4742,2604,68,64,4,32,17,1150
"Adrien Rabiot","2018-2019",0,0,10,8,1,0,1,0,0,868,5360,3170,47,33,2,14,9,935
"Panagiotis Tachtsidis","2018-2019",2,1,6,6,0,0,0,0,0,573,2920,1516,17,21,0,18,10,762
"Biagio Meccariello","2018-2019",0,0,2,2,0,0,0,0,0,1003,4921,2690,14,14,2,17,6,1179
"Andrea Rispoli","2018-2019",1,0,1,1,0,0,0,0,0,512,3375,1901,47,40,4,15,3,678
"Rafael Leão","2018-2019",3,1,6,5,0,1,0,0,0,217,1158,503,17,16,10,25,27,287
"Kastriot Dermaku","2018-2019",1,1,3,1,0,0,2,0,0,651,3287,1817,6,3,0,6,4,725
"Tommaso Augello","2018-2019",2,1,6,6,0,0,0,0,0,1248,8274,5177,126,70,13,29,38,1634
"Davide Mazzocco","2018-2019",3,0,3,2,0,0,0,1,0,379,2158,1030,28,18,2,30,26,456
"Ilija Nestorovski","2018-2019",8,0,14,9,0,1,4,0,0,444,1866,577,13,16,8,52,29,643
"Mato Jajalo","2018-2019",5,2,8,6,0,1,1,0,0,1148,7434,4133,85,72,4,49,33,1477
"Adama Soumaoro","2018-2019",0,0,1,1,0,0,0,0,0,622,3328,1972,9,3,0,5,6,701
"Emanuele Cicerelli","2018-2019",5,1,1,0,0,1,0,0,0,344,2353,1001,25,23,5,26,12,371
"Christopher Nkunku","2018-2019",3,2,6,4,0,0,0,1,1,533,3122,1642,52,42,12,29,20,632
"Moussa Diaby","2018-2019",0,0,10,8,0,2,0,0,0,486,3044,1592,60,32,27,34,24,552
"Marcus Thuram","2018-2019",7,1,6,3,0,0,1,2,0,766,7216,3424,133,90,53,95,92,942
"Ramy Bensebaini","2018-2019",7,1,2,2,0,0,0,0,0,751,4433,2726,61,41,4,31,10,854
"Ellyes Skhiri","2018-2019",6,4,11,7,0,1,1,1,1,986,4869,2011,38,35,6,37,35,1251
"Serhou Guirassy","2018-2019",6,0,4,3,0,0,0,1,0,291,1432,533,16,15,4,46,31,430
"Lucas Tousart","2018-2019",1,2,3,3,0,0,0,0,0,682,3392,1395,9,18,0,20,13,774
"Toni Leistner","2018-2019",0,1,0,0,0,0,0,0,0,813,5303,3330,19,7,0,14,5,851
"William Saliba","2019-2020",0,0,0,0,0,0,0,0,0,390,2731,1623,20,6,0,11,10,395
"Ollie Watkins","2019-2020",10,2,15,8,0,1,5,1,0,866,4803,2280,97,57,56,115,57,1278
"Bertrand Traoré","2019-2020",3,1,7,4,1,1,0,1,0,503,2692,1171,36,26,18,44,25,563
"Matty Cash","2019-2020",6,0,10,9,0,0,1,0,0,1071,7077,4077,105,63,14,51,31,1205
"James Bree","2019-2020",2,0,11,5,4,0,1,1,0,734,3744,1949,60,45,3,35,14,891
"Scott Hogan","2019-2020",1,1,2,1,0,0,0,1,0,201,1329,559,26,10,16,45,17,254
"Anthony Knockaert","2019-2020",4,1,9,7,2,0,0,0,0,1019,6932,3267,125,54,59,69,40,1329
"Ben White","2019-2020",0,1,3,2,0,0,1,0,0,1511,9226,5792,47,26,2,25,11,1934
"Malang Sarr","2019-2020",0,1,1,1,0,0,0,0,0,726,3819,2399,13,9,1,9,4,967
"Thiago Silva","2019-2020",0,1,2,2,0,0,0,0,0,979,4541,3063,10,14,0,5,2,1282
