"rk","player","min","gca","sca","cmp_percent","won_percent","succ_percent","carries","int","tkl","season","age","nation","team","comp","mp","min_2","x90s","starts","subs","un_sub","gls","ast","g_a","g_pk","pk","p_katt","p_km","cmp","att","cmp_percent_2","kp","x3_jan","ppa","crs_pa","prg_p","tot_dist","prg_dist","cmp_2","att_2","cmp_percent_3","cmp_3","att_3","cmp_percent_4","cmp_4","att_4","cmp_percent_5","sca_2","pass_live","pass_dead","to","sh","fld","def","gca_2","pass_live_2","pass_dead_2","to_2","sh_2","fld_2","def_2","carries_2","tot_dist_2","prg_dist_2","prg_c","x3_jan_2","cpa","mis","dis","rec","prg_r","att_5","succ","succ_percent_2","tkld","tkld_percent","tkl_2","tkl_w","def_3rd","mid_3rd","att_3rd","tkl_3","att_6","tkl_percent","lost","blocks","sh_3","pass","int_2","tkl_int","clr","err","won","lost_2","won_percent_2","pos"
"912","Tom Holmes",3413,"0","26","75.8","58.3","33.3","912","61","48","2022-2023","22","eng ENG","Reading","eng Championship","40","3,413","37.9","39","1","0","0","0","0","0","0","0","0","1195","1577","75.8","10","74","8","5","85","25331","10442","363","427","85","603","699","86.3","216","392","55.1","26","23","1","0","2","0","0","0","0","0","0","0","0","0","912","3819","1612","10","9","2","21","5","1103","12","6","2","33.3","3","50","48","27","33","14","1","19","40","47.5","21","38","29","9","61","109","180","0","123","88","58.3","DF"
"913","Greg Cunningham",1782,"2","10","70.9","63.3","14.3","495","25","35","2022-2023","31","ie IRL","Preston","eng Championship","22","1,782","19.8","20","2","13","2","2","4","2","0","0","0","688","970","70.9","3","69","7","3","58","13564","6978","262","310","84.5","318","416","76.4","98","202","48.5","10","9","0","0","0","1","0","2","2","0","0","0","0","0","495","2034","1117","9","5","0","6","5","582","14","7","1","14.3","3","42.9","35","17","23","12","0","22","40","55","18","16","6","10","25","60","60","0","50","29","63.3","DF"
"914","Rarmani Edmonds-Green",1086,"0","3","67.4","50.9","100","234","4","23","2022-2023","23","eng ENG","2 Teams","eng Championship","15","1,086","12.1","12","3","12","0","0","0","0","0","0","0","279","414","67.4","2","32","4","1","32","5031","2028","113","140","80.7","138","192","71.9","25","70","35.7","3","3","0","0","0","0","0","0","0","0","0","0","0","0","234","1172","667","7","3","0","10","3","254","5","1","1","100","0","0","23","14","15","7","1","12","17","70.6","5","16","8","8","4","27","47","0","27","26","50.9","DF"
"915","Joe Bennett",743,"0","17","80","65","30.8","292","9","13","2022-2023","32","eng ENG","Wigan Athletic","eng Championship","15","743","8.3","9","6","9","0","0","0","0","0","0","0","395","494","80","7","17","6","5","26","6263","2255","222","243","91.4","136","161","84.5","29","69","42","17","15","0","1","0","0","1","0","0","0","0","0","0","0","292","1303","592","8","10","0","7","3","336","13","13","4","30.8","7","53.8","13","7","9","3","1","7","8","87.5","1","11","3","8","9","22","16","0","13","7","65","DF"
"916","Liam Delap",1878,"4","36","51.7","34.1","31.6","349","2","7","2022-2023","19","eng ENG","2 Teams","eng Championship","37","1,878","20.9","20","17","3","4","0","4","4","0","0","0","138","267","51.7","11","17","8","0","18","1731","424","90","142","63.4","29","60","48.3","5","20","25","36","17","0","6","6","7","0","4","2","0","0","1","1","0","349","2189","944","44","26","21","75","44","432","138","76","24","31.6","40","52.6","7","6","2","3","2","2","12","16.7","10","9","2","7","2","9","12","0","42","81","34.1","FW"
"917","Kenneth Dougall",2574,"4","73","68.9","40.5","34.8","490","25","75","2022-2023","29","au AUS","Blackpool","eng Championship","36","2,574","28.6","27","9","5","3","2","5","3","0","0","0","746","1082","68.9","35","82","10","2","96","13858","4910","339","406","83.5","282","378","74.6","107","231","46.3","73","32","38","0","1","2","0","4","3","1","0","0","0","0","490","1901","719","3","10","2","32","31","574","29","23","8","34.8","12","52.2","75","43","41","32","2","27","59","45.8","32","31","9","22","25","100","46","1","32","47","40.5","MF"
"918","Marvelous Nakamba",1423,"2","19","80.8","41.9","50","323","16","64","2022-2023","28","zw ZIM","Luton Town","eng Championship","17","1,423","15.8","16","1","0","0","0","0","0","0","0","0","463","573","80.8","6","56","6","1","71","7530","2506","244","287","85","170","195","87.2","39","63","61.9","19","16","1","1","1","0","0","2","2","0","0","0","0","0","323","1625","631","9","14","1","22","19","329","5","24","12","50","10","41.7","64","36","29","31","4","27","51","52.9","24","20","4","16","16","80","13","1","18","25","41.9","MF"
"919","John Egan",3955,"1","43","75.7","61.9","81.8","1289","80","59","2022-2023","29","ie IRL","Sheffield Utd","eng Championship","45","3,955","43.9","44","1","0","2","1","3","2","0","0","0","1652","2183","75.7","15","93","6","0","103","33835","14953","541","641","84.4","851","1024","83.1","237","452","52.4","43","36","0","0","6","0","1","1","1","0","0","0","0","0","1289","6507","3862","12","9","1","14","2","1471","8","11","9","81.8","1","9.1","59","28","35","23","1","34","47","72.3","13","56","29","27","80","139","191","3","177","109","61.9","DF"
"920","Kion Etete",1224,"2","24","61.6","50.9","56.1","289","6","20","2022-2023","20","eng ENG","Cardiff City","eng Championship","28","1,224","13.6","12","16","4","3","1","4","3","0","0","0","181","294","61.6","6","10","5","1","19","2342","422","111","161","68.9","50","82","61","8","15","53.3","24","10","0","5","3","6","0","2","1","0","1","0","0","0","289","1505","547","17","17","6","75","37","381","106","41","23","56.1","14","34.1","20","10","10","8","2","9","18","50","9","20","3","17","6","26","14","0","81","78","50.9","FW"
"921","Ismaël Koné",1013,"5","32","81.4","28.6","75.9","341","4","18","2022-2023","20","ca CAN","Watford","eng Championship","16","1,013","11.3","13","3","4","0","1","1","0","0","0","0","341","419","81.4","14","34","4","1","47","6159","1199","144","169","85.2","144","168","85.7","42","59","71.2","32","24","1","2","2","2","1","5","4","0","0","1","0","0","341","2370","1081","25","16","3","20","8","380","37","29","22","75.9","3","10.3","18","7","7","8","3","11","21","52.4","10","3","0","3","4","22","4","0","6","15","28.6","MF"
