player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Kenny Tete,1,2019-2020,18,1072,9,9,5,0,1,1,0,857,79.3,12,16,67,2842,3845,57.38805970149254,0.4697396199859254,2.4722222222222223,11,28,1,0,1335,38,88,20,55,33,21,0.6363636363636364,19,34,50,20,0,0,1
Antonee Robinson,1,2019-2020,38,3352,38,0,0,1,1,2,1,1873,67.6,29,39,112,9928,9395,83.88392857142857,0.552880741337631,4.823374340949034,43.84313725490196,74,1,0,5489,160,179,134,60.4,84,60,0.7142857142857143,76,133,45.7,94,0,0,1
Joachim Andersen,1,2019-2020,18,1531,17,1,10,1,0,1,1,1333,89.6,4,2,79,4909,7496,94.88607594936708,0.61702994499898145,3.3469613259668507,52.27272727272727,16,0,0,3029,6,1,3,100,17,9,0.5294117647058824,10,74,69.4,72,0,0,1
Anthony Knockaert,1,2019-2020,42,2836,32,10,1,3,4,7,3,1534,74.8,58,48,112,6932,4761,42.50892857142857,0.4712925562608194,3.2060843964671246,21.724137931034484,126,1,0,3267,125,345,82,56.1,32,17,0.53125,20,20,42,50,1,0,0
Stefan Johansen,1,2019-2020,33,1695,19,14,12,0,4,4,0,1190,86.1,28,20,125,4322,4870,38.96,0.4370661730680241,2.901689708141321,7.538461538461538,57,0,0,1889,38,65,16,56.3,26,11,0.4230769230769231,12,9,35,20,0,1,0
Neeskens Kebano,1,2019-2020,16,588,5,11,9,3,1,4,3,245,71,14,12,20,1727,577,28.85,0.5570353213665316,4.182608695652174,6.75,27,2,0,962,40,101,16,62.5,14,9,0.6428571428571429,4,5,42.9,14,1,0,0
Steven Sessegnon,1,2019-2020,14,714,9,5,21,0,0,0,0,610,82.5,2,2,59,1388,2257,38.25423728813559,0.5309798270893372,3.0708333333333333,14.875,16,1,0,737,9,20,9,55.6,15,9,0.6,10,19,46.7,30,0,0,1
Cyrus Christie,1,2019-2020,24,1441,13,11,14,1,1,2,1,880,74.9,16,20,69,2695,3825,55.43478260869565,0.5647495361781076,3.2452025586353943,30.857142857142858,40,0,0,1522,52,60,20,65,33,20,0.6060606060606061,20,54,46.2,65,0,0,1
Raphinha,1,2019-2020,22,1690,20,2,0,5,3,8,4,678,65.5,42,20,69,3994,2733,39.608695652173914,0.5075112669003505,3.328407224958949,14.636363636363637,90,2,0,2027,64,155,112,43.8,22,18,0.8181818181818182,17,14,38.9,36,1,1,0
Barry Douglas,1,2019-2020,15,648,6,9,21,0,0,0,0,553,78.1,10,8,52,1203,2523,48.51923076923077,0.4979218620116376,2.2518796992481205,8.727272727272727,20,0,0,599,10,39,7,57.1,12,6,0.5,9,9,42.1,19,0,0,1
