player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Daniel Ayala,0,2018-2019,33,2717,32,1,4,1,0,1,1,1008,65.8,6,3,67,3035,5677,84.73134328358209,0.5449752883031301,3.080074487895717,127.63636363636364,19,0,0,1654,15,11,6,33.3,51,35,0.6862745098039216,45,182,62.1,203,0,0,1
Chris Gunter,0,2018-2019,22,1557,17,5,14,0,1,1,0,787,69,12,9,50,2168,3577,71.54,0.4714022140221402,2.5939086294416245,20.869565217391305,19,0,0,1022,29,67,9,22.2,26,14,0.5384615384615384,16,78,46.5,43,0,0,1
Bersant Celina,0,2018-2019,38,2963,33,5,1,5,6,11,5,1799,81.2,73,53,243,7883,6507,26.77777777777778,0.5420525180768743,3.434887459807074,9.346153846153847,157,1,1,4273,115,214,104,55.8,17,10,0.5882352941176471,8,20,25.7,35,1,1,0
Brandon Barker,0,2018-2019,16,594,6,10,6,0,2,2,0,237,79.7,10,6,22,2079,504,22.90909090909091,0.5281385281385281,5.013698630136986,2.090909090909091,24,0,0,1098,41,54,24,50,5,1,0.2,3,4,8.3,24,1,0,0
Mark Beevers,0,2018-2019,32,2765,31,1,4,3,0,3,3,830,62,5,4,45,1650,4721,104.91111111111111,0.4903030303030303,2.318051575931232,220.8684210526316,18,0,0,809,2,15,2,100,41,21,0.5121951219512195,51,249,74.1,294,0,0,1
Jack O'Connell,0,2018-2019,41,3675,41,0,0,3,3,6,3,2404,75.9,14,28,181,4574,14348,79.2707182320442,0.4980323567993004,1.940374787052811,199.03092783505156,38,0,0,2278,16,56,11,63.6,26,13,0.5,53,207,67,294,0,0,1
Britt Assombalonga,0,2018-2019,42,2682,28,14,4,14,0,14,12,427,74.5,25,13,26,3143,609,23.423076923076923,0.30225898822780783,1.6521739130434783,43.36440677966102,68,1,0,950,44,218,49,42.9,14,9,0.6428571428571429,1,31,26.7,161,1,0,0
Erhun Oztumer,0,2018-2019,17,838,8,9,9,0,0,0,0,406,75.4,25,10,28,1361,1133,40.464285714285715,0.3695811903012491,2.095833333333333,1.04,41,0,0,503,10,45,4,75,4,2,0.5,5,2,3.8,26,0,1,0
Jordan Thorniley,0,2018-2019,20,1518,17,3,15,0,0,0,0,623,72.4,3,0,30,1710,3513,117.1,0.6023391812865497,2.9096045197740112,50.166666666666664,6,1,0,1030,5,6,3,33.3,34,26,0.7647058823529411,21,96,53.8,91,0,0,1
Clark Robertson,0,2018-2019,28,2367,25,3,5,3,1,4,3,749,58.9,5,1,78,1722,5045,64.67948717948718,0.49825783972125437,2.8504983388704317,139.6829268292683,21,0,0,858,7,7,3,66.7,23,12,0.5217391304347826,36,136,62.7,220,0,0,1
Lewis Travis,0,2018-2019,26,1780,19,7,6,1,0,1,1,987,82,16,11,100,3668,3785,37.85,0.44274809160305345,2.5454545454545454,18.620689655172413,39,2,0,1624,28,31,27,59.3,58,41,0.7068965517241379,22,14,38.3,47,0,1,0
Adam Reach,0,2018-2019,42,3670,42,0,0,8,7,15,8,1499,74.3,72,63,119,7563,5021,42.19327731092437,0.4545815152717176,3.0264084507042255,58.11764705882353,127,1,2,3438,128,227,84,46.4,44,29,0.6590909090909091,24,50,52.8,108,1,1,0
Ryan Ledson,0,2018-2019,24,1239,14,10,12,0,1,1,0,613,69.3,11,8,61,1176,3081,50.50819672131148,0.3681972789115646,1.2697947214076246,37.1875,30,1,0,433,2,8,2,100,30,19,0.6333333333333333,29,29,68.6,51,0,1,0
Tobias Figueiredo,0,2018-2019,13,1009,11,2,2,0,0,0,0,519,75,0,0,17,2037,3091,181.8235294117647,0.6156111929307806,3.9683544303797467,43.82692307692308,3,0,0,1254,8,2,1,100,13,8,0.6153846153846154,15,74,45.3,95,0,0,1
Will Grigg,0,2018-2019,17,895,10,7,5,4,1,5,1,154,68.8,11,0,5,409,151,30.2,0.28361858190709044,1.2747252747252746,24.352941176470587,22,0,0,116,5,43,5,40,5,3,0.6,2,3,26.1,92,1,0,0
João Carvalho,0,2018-2019,38,2553,28,10,7,4,8,12,4,1234,74.4,44,62,177,5701,4336,24.497175141242938,0.48044202771443606,2.883157894736842,7.194444444444445,99,1,3,2739,83,168,120,42.5,33,26,0.7878787878787878,9,11,16.3,43,0,1,0
Connor Mahoney,0,2018-2019,30,1503,17,13,13,2,4,6,2,499,49.5,41,18,36,3381,2291,63.638888888888886,0.46110618160307604,4.113456464379947,8.571428571428571,72,1,0,1559,75,94,54,33.3,25,16,0.64,15,17,36.4,22,0,1,0
Lukas Jutkiewicz,0,2018-2019,46,3811,44,2,0,14,10,24,14,1356,47.4,42,35,123,3514,2985,24.26829268292683,0.3867387592487194,1.692403486924035,562.3485576923077,94,0,0,1359,46,262,24,58.3,24,11,0.4583333333333333,16,92,57.4,977,1,0,0
George Baldock,0,2018-2019,27,2274,26,1,5,1,2,3,1,1096,75.9,20,29,87,3300,4122,47.37931034482759,0.5509090909090909,3.150779896013865,31.738095238095237,51,1,0,1818,67,174,23,43.5,49,33,0.673469387755102,22,56,42.5,73,0,0,1
Lee Gregory,0,2018-2019,44,3625,42,2,0,10,7,17,10,812,67.6,34,13,48,3801,1002,20.875,0.24256774533017628,1.173027989821883,102.43037974683544,89,0,1,922,46,317,50,44,33,23,0.696969696969697,13,8,30.1,339,1,0,0
Amari'i Bell,0,2018-2019,38,3204,35,3,5,3,1,4,3,1651,72.7,25,17,125,5491,7308,58.464,0.5523584046621745,3.6236559139784945,98.1829268292683,57,0,1,3033,84,105,69,66.7,57,33,0.5789473684210527,28,110,54.2,179,0,0,1
Callum Connolly,0,2018-2019,33,2140,22,11,8,3,2,5,3,732,68.3,9,5,58,1459,3401,58.63793103448276,0.3591501028101439,1.5502958579881656,62.22,30,1,0,524,10,24,5,80,48,31,0.6458333333333334,20,69,55,111,0,1,1
Jordan Rhodes,0,2018-2019,36,1034,9,27,8,6,1,7,6,244,57.8,3,1,9,672,250,27.77777777777778,0.20089285714285715,0.823170731707317,60.618556701030926,22,0,0,135,5,65,1,0,4,1,0.25,1,16,38.2,157,1,0,0
Jordy de Wijs,0,2018-2019,32,2623,30,2,2,1,3,4,1,1163,69.4,11,3,64,3259,6351,99.234375,0.6345504756060141,3.801470588235294,174.80208333333334,22,0,0,2068,9,3,3,100,34,17,0.5,40,254,64.3,269,0,0,1
Rekeem Harper,0,2018-2019,16,1130,13,3,15,1,1,2,1,367,85.3,6,3,40,1745,915,22.875,0.4183381088825215,2.7756653992395437,16.941176470588236,25,0,0,730,22,30,30,66.7,7,4,0.5714285714285714,9,10,48.5,33,0,1,0
Leroy Fer,0,2018-2019,25,1354,15,10,0,1,2,3,1,725,81.1,16,8,76,2432,2496,32.8421052631579,0.5493421052631579,2.8855291576673867,49.473684210526315,28,0,0,1336,20,23,18,83.3,40,24,0.6,17,18,71.2,66,0,1,0
Garath McCleary,0,2018-2019,31,1529,14,17,2,0,3,3,0,595,67.9,35,28,56,3789,1517,27.089285714285715,0.5294272895223014,4.0772357723577235,30.857142857142858,65,0,1,2006,89,132,50,54,15,11,0.7333333333333333,10,19,46.2,65,1,1,0
Alan Judge,0,2018-2019,39,2321,23,16,5,1,1,2,1,1366,72,53,34,113,4044,5140,45.48672566371681,0.38006923837784373,1.7154017857142858,8.32,99,0,0,1537,34,198,35,54.3,32,17,0.53125,17,15,24.2,33,1,1,0
Courtney Baker-Richardson,0,2018-2019,17,454,6,11,10,3,1,4,3,59,52.5,3,1,3,298,80,26.666666666666668,0.3959731543624161,2.1454545454545455,17.47222222222222,6,0,0,118,5,23,3,66.7,1,0,0,2,9,32.1,53,1,0,0
Corry Evans,0,2018-2019,35,2669,33,2,6,0,0,0,0,1350,76.9,16,12,124,3608,4984,40.193548387096776,0.40825942350332595,1.9798387096774193,40.61538461538461,39,2,0,1473,21,31,26,73.1,87,48,0.5517241379310345,62,53,38.1,105,0,1,0
Harvey Barnes,0,2018-2019,26,2214,26,0,0,9,6,15,9,691,74.1,39,27,85,5302,2041,24.011764705882353,0.5541305167861185,4.569206842923795,13.541666666666666,107,0,3,2938,112,208,94,47.9,11,7,0.6363636363636364,4,6,35.1,37,1,1,0
Darnell Furlong,0,2018-2019,25,2075,23,2,5,1,1,2,1,1082,54.4,12,15,62,1909,6295,101.53225806451613,0.4677841801990571,2.764705882352941,117.12962962962963,37,1,0,893,26,40,8,50,25,20,0.8,30,94,68,169,0,0,1
Luke Ayling,0,2018-2019,38,3238,38,0,0,2,6,8,2,2581,78.8,47,48,238,8858,14195,59.642857142857146,0.6074734703093249,3.776140350877193,95.54098360655738,115,2,0,5381,107,175,42,57.1,79,53,0.6708860759493671,44,66,60.6,155,0,0,1
John Obi Mikel,0,2018-2019,18,1598,18,0,0,1,0,1,1,787,87.3,14,6,82,2798,3293,40.15853658536585,0.44603288062902074,2.4046242774566475,30.16,39,1,0,1248,19,13,20,65,37,22,0.5945945945945946,19,26,53.7,54,0,1,0
Oliver Norwood,0,2018-2019,43,3806,43,0,0,3,8,11,2,3229,79,97,57,357,4854,18034,50.515406162464984,0.5214256283477544,1.7849083215796897,56.89655172413793,166,2,0,2531,19,37,11,81.8,100,48,0.48,74,54,65.5,84,0,1,0
Jay Fulton,0,2018-2019,33,1910,21,12,11,2,1,3,2,809,79.4,16,9,67,1957,2448,36.53731343283582,0.457843638221768,1.9310344827586208,30.625,29,0,0,896,20,44,19,78.9,66,37,0.5606060606060606,24,29,38.5,78,0,1,0
Dael Fry,0,2018-2019,34,2862,33,1,6,0,4,4,0,1150,68.2,14,12,79,3322,5750,72.78481012658227,0.5599036724864539,3.074380165289256,120.58666666666667,36,2,0,1860,29,23,26,65.4,33,23,0.696969696969697,24,169,61.3,194,0,0,1
Matt Crooks,0,2018-2019,16,739,7,9,3,3,0,3,3,212,63.7,11,2,19,1031,434,22.842105263157894,0.42289039767216297,3.0489510489510487,18.818181818181817,21,0,0,436,17,32,20,60,15,10,0.6666666666666666,2,6,45,40,0,1,0
Joe Williams,0,2018-2019,30,2520,29,1,1,0,2,2,0,1200,76.3,27,31,155,3866,5289,34.12258064516129,0.4676668391101914,2.4399460188933872,30.714285714285715,79,5,0,1808,32,50,50,66,82,42,0.5121951219512195,40,44,41.7,72,0,1,0
Jed Wallace,0,2018-2019,42,3676,41,1,0,5,2,7,5,1581,61.2,51,86,148,10130,5919,39.99324324324324,0.43356367226061204,3.4555468135326515,41.60294117647059,119,1,1,4392,161,244,136,42.6,73,49,0.6712328767123288,31,22,37.6,109,1,1,0
Kasey Palmer,0,2018-2019,29,1179,12,17,16,3,1,4,3,477,72.1,11,15,50,2690,1496,29.92,0.40483271375464686,2.6822660098522166,35.77777777777778,36,0,0,1089,30,60,63,66.7,38,26,0.6842105263157895,11,17,43.8,80,0,1,0
Marley Watkins,0,2018-2019,16,517,5,11,4,2,0,2,2,153,62.1,3,6,10,635,349,34.9,0.4346456692913386,2.13953488372093,17.29310344827586,14,0,0,276,8,34,8,100,12,7,0.5833333333333334,4,8,22.7,75,0,1,0
Wes Harding,0,2018-2019,27,1547,13,14,19,0,0,0,0,648,65.3,5,11,60,1897,4606,76.76666666666667,0.41697416974169743,2.6996587030716723,30.76923076923077,17,0,0,791,15,24,29,41.4,32,18,0.5625,29,61,43.5,69,0,0,1
Adam Clayton,0,2018-2019,36,2490,29,7,9,0,0,0,0,1272,81.7,22,20,122,3468,6539,53.59836065573771,0.46943483275663206,2.1088082901554404,19.863636363636363,55,0,0,1628,20,15,28,60.7,65,38,0.5846153846153846,48,50,46.3,41,0,1,0
Jackson Irvine,0,2018-2019,38,3176,36,2,1,6,1,7,6,1592,68.7,34,31,174,3887,6055,34.798850574712645,0.5129920246977103,2.402409638554217,168.9940828402367,90,1,0,1994,41,112,43,69.8,60,33,0.55,49,76,49.9,337,1,1,0
Tom Huddlestone,0,2018-2019,24,1881,21,3,16,0,0,0,0,1250,80.4,14,7,127,2644,5367,42.25984251968504,0.4402420574886536,1.6371308016877637,42.138888888888886,43,0,0,1164,11,19,5,60,33,21,0.6363636363636364,21,49,53.2,77,0,1,0
Kieran Gibbs,0,2018-2019,36,3035,35,1,3,4,4,8,4,1770,77.5,33,27,111,5129,6689,60.26126126126126,0.5847143692727628,3.447126436781609,37.787234042553195,73,3,0,2999,95,188,45,42.2,44,26,0.5909090909090909,57,94,44,84,0,0,1
Kenny McLean,0,2018-2019,20,1347,15,5,2,3,6,9,3,1042,79.3,20,16,119,3617,4322,36.319327731092436,0.5203207077688692,3.0208667736757624,50.90909090909091,50,0,0,1882,31,45,15,66.7,36,22,0.6111111111111112,20,26,47.6,105,0,1,0
Joe Newell,0,2018-2019,31,1639,18,13,9,0,4,4,0,611,54.5,54,14,50,2381,2826,56.52,0.4115917681646367,2.413793103448276,20.64516129032258,93,0,0,980,34,104,42,47.6,39,23,0.5897435897435898,14,15,39.2,51,1,1,0
Duane Holmes,0,2018-2019,25,1492,16,9,4,2,1,3,2,732,71.4,14,15,84,3971,2369,28.202380952380953,0.5278267438932259,3.749552772808587,7.269230769230769,53,1,0,2096,64,80,48,66.7,23,15,0.6521739130434783,19,16,21.2,33,1,1,0
Harlee Dean,0,2018-2019,44,3882,44,0,0,1,0,1,1,1119,56.9,9,11,87,3192,7475,85.91954022988506,0.41604010025062654,2.5056603773584905,244.03361344537814,39,3,0,1328,17,23,23,39.1,46,31,0.6739130434782609,63,227,67,361,0,0,1
Josh McEachran,0,2018-2019,24,1480,19,5,14,1,0,1,1,1047,83.9,17,4,147,4685,5346,36.36734693877551,0.52059765208111,3.602658788774003,9.818181818181818,36,1,0,2439,42,9,15,86.7,48,27,0.5625,27,18,45,20,0,1,0
Stephen Kingsley,0,2018-2019,26,2163,25,1,1,0,2,2,0,1129,66.4,11,16,68,2186,5428,79.82352941176471,0.5192131747483989,2.516629711751663,75.29824561403508,23,0,0,1135,29,45,24,70.8,36,21,0.5833333333333334,22,91,56.5,131,0,0,1
Cole Skuse,0,2018-2019,34,2704,32,2,3,0,1,1,0,1377,79.7,9,7,92,2681,5565,60.48913043478261,0.4319283849309959,1.6637931034482758,78.8780487804878,27,0,0,1158,11,14,8,87.5,39,20,0.5128205128205128,50,65,65.3,118,0,1,0
Jay Rodriguez,0,2018-2019,45,3943,45,0,0,22,5,27,14,1079,71.9,45,43,132,4180,3718,28.166666666666668,0.39545454545454545,2.2187919463087247,82.61194029850746,113,5,0,1653,60,239,74,25.7,43,27,0.627906976744186,17,68,38,216,1,0,0
Bailey Wright,0,2018-2019,12,841,10,2,12,0,0,0,0,364,77.2,2,2,19,763,2042,107.47368421052632,0.49148099606815204,2.2189349112426036,21.176470588235293,9,0,0,375,4,14,5,20,14,9,0.6428571428571429,15,41,54.1,37,0,0,1
Maikel Kieftenbeld,0,2018-2019,36,2913,34,2,2,1,2,3,1,1093,73.9,16,6,133,2315,4929,37.06015037593985,0.32397408207343414,1.4340344168260037,31.885714285714286,48,4,0,750,7,20,22,77.3,56,36,0.6428571428571429,46,51,47,66,0,1,0
Kayden Jackson,0,2018-2019,36,1559,14,22,5,3,2,5,3,321,61.7,14,5,15,1636,293,19.533333333333335,0.4180929095354523,2.3424657534246576,36.21686746987952,30,0,1,684,29,144,15,60,7,5,0.7142857142857143,1,9,17.8,202,1,0,0
Joe Rafferty,0,2018-2019,6,429,4,2,7,0,0,0,0,253,71.9,4,3,24,574,1644,68.5,0.5313588850174216,2.1631205673758864,7.583333333333333,9,0,0,305,7,13,2,0,3,1,0.3333333333333333,4,15,36.8,19,0,0,1
Emiliano Marcondes,0,2018-2019,13,458,3,10,3,0,2,2,0,219,74.9,8,6,29,945,833,28.724137931034484,0.4846560846560847,2.9548387096774196,1.0666666666666667,21,1,0,458,14,28,4,50,7,4,0.5714285714285714,2,3,6.3,16,1,1,0
Conor Townsend,0,2018-2019,12,957,10,2,11,0,0,0,0,543,72.2,8,11,38,1787,2560,67.36842105263158,0.5713486289871292,3.6594982078853047,22.3125,20,0,1,1021,27,50,16,50,23,13,0.5652173913043478,13,20,56.8,37,0,0,1
Kalvin Phillips,0,2018-2019,42,3497,42,0,2,1,2,3,1,2534,81.5,22,7,194,6795,12744,65.69072164948453,0.48329654157468727,2.463615903975994,107.23255813953489,61,3,0,3284,17,35,31,74.2,111,64,0.5765765765765766,58,109,55.2,192,0,1,1
George Friend,0,2018-2019,38,3270,37,1,0,2,2,4,2,1796,64,28,32,123,5435,9498,77.21951219512195,0.49310027598896045,2.7346938775510203,117.58904109589041,70,0,0,2680,60,128,80,33.8,61,38,0.6229508196721312,30,121,61.4,189,0,0,1
James Vaughan,0,2018-2019,19,545,6,13,5,2,0,2,1,134,35.8,4,1,6,249,201,33.5,0.26506024096385544,0.9428571428571428,76.01351351351352,13,0,0,66,2,18,2,0,3,1,0.3333333333333333,1,7,50.3,149,1,0,0
Kristian Pedersen,0,2018-2019,39,3447,39,0,2,1,2,3,1,1658,63.1,17,26,117,3817,10857,92.7948717948718,0.5247576630861933,3.1996805111821085,130.06451612903226,46,1,0,2003,59,34,39,61.5,88,55,0.625,105,193,67.4,190,0,0,1
Gaetano Berardi,0,2018-2019,13,895,10,3,8,0,1,1,0,516,81.4,3,3,39,1777,3156,80.92307692307692,0.6578503095104108,4.444866920152092,24.533333333333335,9,0,0,1169,12,16,2,50,22,14,0.6363636363636364,15,43,34.8,69,0,0,1
Ryan Tunnicliffe,0,2018-2019,26,1955,22,4,17,3,0,3,3,721,78.6,18,16,57,2287,2026,35.54385964912281,0.46786182772190643,2.3620309050772628,20.666666666666668,40,1,0,1070,17,32,12,58.3,33,17,0.5151515151515151,21,31,40,50,0,1,0
James McClean,0,2018-2019,42,2948,32,10,0,3,6,9,3,1153,58.9,31,33,68,6568,3037,44.661764705882355,0.4700060901339829,3.4491620111731844,76.69724770642202,74,1,1,3087,114,260,90,57.8,59,36,0.6101694915254238,21,56,41.1,185,1,1,0
Bradley Dack,0,2018-2019,42,3446,40,2,0,15,7,22,14,1255,76.2,49,41,159,5480,3734,23.48427672955975,0.3916058394160584,2.0555555555555554,10.126582278481013,138,2,0,2146,60,207,107,59.8,32,19,0.59375,14,14,11.2,89,0,1,0
Trevoh Chalobah,0,2018-2019,43,3277,35,8,2,2,1,3,2,1757,66.6,18,14,167,4011,7218,43.221556886227546,0.4535028671154326,1.800990099009901,112.95726495726495,44,2,0,1819,28,36,68,70.6,57,36,0.631578947368421,55,90,48.9,229,0,1,0
Tom Trybull,0,2018-2019,31,1926,22,9,9,1,0,1,1,1490,89.4,11,4,135,4064,7860,58.22222222222222,0.47834645669291337,2.0858369098712446,83.07894736842105,36,3,0,1944,11,8,13,84.6,72,42,0.5833333333333334,68,60,51.9,158,0,1,0
Ahmed Hegazi,0,2018-2019,38,3270,38,0,0,1,2,3,1,1881,76.7,14,5,107,6958,12291,114.86915887850468,0.5921241736131072,3.6687444345503115,156.53465346534654,30,0,0,4120,21,2,28,92.9,46,29,0.6304347826086957,32,241,60.5,256,0,0,1
Jack Hobbs,0,2018-2019,25,2117,24,1,10,1,0,1,1,852,69.5,5,4,49,1465,5170,105.51020408163265,0.45802047781569966,1.7473958333333333,125.73333333333333,9,0,0,671,2,3,2,50,34,18,0.5294117647058824,54,138,73.2,168,0,0,1
Henrik Dalsgaard,0,2018-2019,40,3514,40,0,3,2,2,4,2,2085,71,37,45,192,5671,10183,53.036458333333336,0.6240521953800036,3.2349177330895795,139.078125,82,1,0,3539,70,261,33,54.5,90,58,0.6444444444444445,61,124,51.9,266,0,1,1
Ben Brereton,0,2018-2019,25,695,4,21,14,1,1,2,1,188,76.6,5,3,8,1648,229,28.625,0.3149271844660194,2.4027777777777777,2.0952380952380953,20,0,0,519,21,75,20,50,5,4,0.8,3,2,8.7,23,1,0,0
Andreas Weimann,0,2018-2019,44,3333,40,4,1,10,5,15,10,920,71.7,47,29,98,4737,2383,24.316326530612244,0.4401519949335022,3.107302533532042,34.45333333333333,100,2,2,2085,79,237,59,52.5,25,18,0.72,19,24,31.2,109,1,1,0
Saïd Benrahma,0,2018-2019,38,2438,29,9,1,10,14,24,10,1184,68,88,45,101,8167,3794,37.56435643564357,0.5195298151095874,4.0602870813397125,5.2,170,0,4,4243,164,295,176,51.7,34,19,0.5588235294117647,13,13,16.7,30,1,0,0
Tom Carroll,0,2018-2019,14,720,8,6,3,0,0,0,0,566,86.4,11,5,60,1234,2421,40.35,0.4538087520259319,1.6918429003021147,3.375,16,0,0,560,10,22,4,25,7,4,0.5714285714285714,9,11,27.3,11,0,1,0
Ash Baker,0,2018-2019,11,958,11,0,12,0,0,0,0,413,69.7,2,7,26,1056,2283,87.8076923076923,0.46117424242424243,2.2757009345794392,9.428571428571429,10,0,0,487,12,33,8,12.5,31,24,0.7741935483870968,15,46,30,30,0,1,1
Sone Aluko,0,2018-2019,19,996,13,6,8,1,1,2,1,490,80.2,12,11,54,2621,1692,31.333333333333332,0.4910339565051507,3.071599045346062,3.3,32,2,0,1287,38,44,31,80.6,19,14,0.7368421052631579,6,9,23.1,13,1,1,0
Marcus Tavernier,0,2018-2019,20,498,2,18,9,3,1,4,3,197,67.5,9,8,15,1290,401,26.733333333333334,0.30930232558139537,2.30635838150289,8.727272727272727,19,1,0,399,13,50,22,59.1,9,7,0.7777777777777778,4,11,42.1,19,1,1,0
Julian Jeanvier,0,2018-2019,24,2008,23,1,10,2,0,2,2,1259,86,2,0,41,4151,7937,193.58536585365854,0.5102384967477717,2.6742424242424243,59.967213114754095,9,0,0,2118,3,0,7,85.7,44,24,0.5454545454545454,32,107,49.2,120,0,0,1
Timm Klose,0,2018-2019,31,2035,23,8,7,4,1,5,4,1362,81,2,2,79,4928,8226,104.12658227848101,0.5809659090909091,3.142700329308452,94.42105263157895,17,1,0,2863,17,7,4,75,38,25,0.6578947368421053,26,122,70.8,130,0,0,1
Kemar Roofe,0,2018-2019,32,2423,27,5,0,14,2,16,13,498,73.1,25,17,44,2284,894,20.318181818181817,0.36865148861646235,1.8963963963963963,29.349397590361445,68,0,2,842,37,187,40,45,22,11,0.5,3,25,25.9,112,1,1,0
Josh Dasilva,0,2018-2019,17,605,5,12,12,1,1,2,1,406,89.4,14,9,65,2123,1827,28.107692307692307,0.5412152614225153,3.792079207920792,0,29,1,0,1149,20,16,16,68.8,9,5,0.5555555555555556,6,12,0,5,0,1,0
Jack Hunt,0,2018-2019,33,2708,32,1,7,1,5,6,1,1463,64.4,32,37,113,4055,8035,71.10619469026548,0.48532675709001233,2.7219917012448134,50.86206896551724,67,1,1,1968,47,96,43,48.8,42,23,0.5476190476190477,40,71,46.3,108,0,0,1
Josh Scowen,0,2018-2019,35,2211,23,12,9,2,2,4,2,1010,71.9,29,15,118,3321,4937,41.83898305084746,0.4595001505570611,2.9573643410852712,41.111111111111114,66,1,0,1526,29,25,16,75,62,35,0.5645161290322581,29,57,52.6,76,0,1,0
Ahmed Elmohamady,0,2018-2019,38,2946,32,6,7,2,8,10,2,1972,77.2,45,37,140,4622,9454,67.52857142857142,0.601254868022501,3.176,74.02816901408451,87,0,0,2779,84,128,25,44,36,22,0.6111111111111112,26,87,50.7,144,0,1,1
Jack Lankester,0,2018-2019,11,523,5,6,5,1,0,1,1,195,54.9,6,4,20,867,850,42.5,0.3102652825836217,1.7467532467532467,2.25,15,1,0,269,5,31,25,60,10,6,0.6,3,2,20,10,1,1,0
John Swift,0,2018-2019,34,2543,28,6,5,3,3,6,3,1655,81.9,56,34,205,7239,7009,34.19024390243902,0.483630335681724,2.616591928251121,19.475,119,0,1,3501,64,93,70,68.6,46,27,0.5869565217391305,27,31,32.2,59,0,1,0
Dominic Iorfa,0,2018-2019,12,825,9,3,2,3,1,4,3,437,71.2,3,5,17,1013,1967,115.70588235294117,0.5577492596248766,2.6036866359447006,44.416666666666664,10,0,0,565,13,23,12,66.7,26,17,0.6538461538461539,16,41,77.4,53,0,0,1
Josh Onomah,0,2018-2019,15,903,10,5,7,0,3,3,0,484,82,9,10,41,1973,1595,38.90243902439025,0.4156107450582869,2.152230971128609,8.571428571428571,24,0,0,820,16,34,20,50,30,21,0.7,11,9,36.4,22,0,1,0
Emi Buendía,0,2018-2019,38,2841,35,3,0,8,12,20,8,1861,73.3,91,54,233,6181,7432,31.896995708154506,0.5148034298657175,2.5702746365105007,21.5,184,6,0,3182,70,157,92,59.8,101,64,0.6336633663366337,32,18,33.3,63,1,0,0
Alex Pearce,0,2018-2019,12,991,11,1,18,0,0,0,0,372,60.8,2,0,18,673,2492,138.44444444444446,0.4457652303120357,1.7543859649122806,49.84615384615385,8,0,0,300,1,1,2,50,8,4,0.5,18,66,64.9,74,1,0,0
Jake Bidwell,0,2018-2019,40,3482,40,0,1,0,4,4,0,1591,65.9,40,45,111,3092,9099,81.97297297297297,0.5171410090556274,2.8351063829787235,87.14666666666666,73,2,0,1599,54,109,20,55,39,26,0.6666666666666666,34,132,53.4,161,0,0,1
Stuart Dallas,0,2018-2019,26,1255,10,16,4,2,0,2,2,797,75.8,15,12,81,2693,3457,42.67901234567901,0.6030449313033791,3.80327868852459,28.96551724137931,41,0,0,1624,49,83,20,40,43,26,0.6046511627906976,16,24,49.1,57,0,1,1
Tom Ince,0,2018-2019,38,3089,36,2,2,6,7,13,6,1213,73.1,44,41,125,7797,2976,23.808,0.4197768372450943,3.1260744985673354,9.18,121,3,0,3273,116,249,77,48.1,41,27,0.6585365853658537,18,19,15.3,59,1,1,0
Evandro Goebel,0,2018-2019,23,1154,14,9,7,3,4,7,3,579,82,21,9,59,2006,1580,26.779661016949152,0.3564307078763709,2.2136222910216716,10.357142857142858,48,1,0,715,22,50,21,71.4,24,13,0.5416666666666666,18,4,26.3,38,1,1,0
Teddy Bishop,0,2018-2019,18,1064,13,5,6,0,0,0,0,385,75.3,8,10,40,1875,1226,30.65,0.5589333333333333,3.6515679442508713,10.434782608695652,36,2,0,1048,32,34,41,58.5,28,16,0.5714285714285714,17,9,30.3,33,0,1,0
Alan Hutton,0,2018-2019,33,2872,33,0,3,2,1,3,2,1752,78,29,37,219,6682,9274,42.34703196347032,0.6171804848847651,4.707762557077626,60.113207547169814,76,0,3,4124,100,84,36,75,35,18,0.5142857142857142,18,142,52.7,112,0,0,1
Saidy Janko,0,2018-2019,15,1207,13,2,14,0,1,1,0,731,77.7,14,11,62,3251,3134,50.54838709677419,0.5776684097200862,4.239277652370204,15.428571428571429,26,0,0,1878,54,58,29,55.2,37,28,0.7567567567567568,8,34,30,50,0,0,1
Adam Armstrong,0,2018-2019,44,2853,31,13,0,5,3,8,5,824,67.6,36,46,80,5809,2240,28,0.4859700464796006,3.7144736842105264,17.80952380952381,86,0,1,2823,100,266,85,44.7,23,12,0.5217391304347826,12,23,44.7,38,1,1,0
Barrie McKay,0,2018-2019,30,1402,16,14,15,2,5,7,2,541,76.2,27,16,61,2340,1865,30.57377049180328,0.48376068376068376,2.6022988505747127,8.444444444444445,50,0,0,1132,38,101,37,51.4,19,11,0.5789473684210527,6,8,30.8,26,1,1,0
