,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
61,Memphis,5,893,2023-2024,29,nl NED,Atlético Madrid,es La Liga,23,893,9.9,9,14,3,5,1,6,5,0,0,0,FW
62,Iván Martín,5,"2,729",2023-2024,24,es ESP,Girona,es La Liga,36,"2,729",30.3,33,3,1,5,4,9,5,0,0,0,MF
63,Nico Williams,5,"2,263",2023-2024,21,es ESP,Athletic Club,es La Liga,31,"2,263",25.1,29,2,0,5,11,16,5,0,0,0,FW
64,Brais Méndez,5,"2,413",2023-2024,26,es ESP,Real Sociedad,es La Liga,32,"2,413",26.8,27,5,1,5,6,11,5,0,0,0,"MF,FW"
65,Mikel Merino,5,"2,482",2023-2024,27,es ESP,Real Sociedad,es La Liga,32,"2,482",27.6,27,5,3,5,3,8,5,0,0,0,MF
66,Luis Rioja,5,"2,498",2023-2024,29,es ESP,Alavés,es La Liga,37,"2,498",27.8,31,6,1,5,4,9,2,3,4,1,"FW,MF"
67,Nemanja Maksimović,4,"3,265",2023-2024,28,rs SRB,Getafe,es La Liga,37,"3,265",36.3,37,0,0,4,0,4,4,0,0,0,MF
68,Pedri,4,"1,476",2023-2024,20,es ESP,Barcelona,es La Liga,24,"1,476",16.4,16,8,0,4,2,6,4,0,0,0,"MF,FW"
69,Iker Muñoz,4,"1,854",2023-2024,20,es ESP,Osasuna,es La Liga,28,"1,854",20.6,20,8,10,4,0,4,4,0,0,0,MF
70,Ander Barrenetxea,4,"1,427",2023-2024,21,es ESP,Real Sociedad,es La Liga,29,"1,427",15.9,20,9,1,4,1,5,4,0,0,0,"FW,MF"
71,Samuel Lino,4,"2,080",2023-2024,23,br BRA,Atlético Madrid,es La Liga,34,"2,080",23.1,25,9,2,4,5,9,4,0,0,0,"DF,MF"
72,Javier Guerra,4,"2,498",2023-2024,20,es ESP,Valencia,es La Liga,36,"2,498",27.8,28,8,0,4,1,5,4,0,0,0,MF
73,Martín Zubimendi,4,"2,654",2023-2024,24,es ESP,Real Sociedad,es La Liga,31,"2,654",29.5,29,2,0,4,1,5,4,0,0,0,MF
74,Dani Carvajal,4,"2,171",2023-2024,31,es ESP,Real Madrid,es La Liga,28,"2,171",24.1,25,3,5,4,3,7,4,0,0,0,DF
75,Isaac Palazón Camacho,4,"2,791",2023-2024,28,es ESP,Rayo Vallecano,es La Liga,37,"2,791",31,34,3,0,4,1,5,2,2,2,0,"MF,FW"
76,Lucas Ocampos,4,"2,871",2023-2024,29,ar ARG,Sevilla,es La Liga,35,"2,871",31.9,34,1,1,4,3,7,3,1,1,0,"FW,MF"
77,Marc Cardona,4,737,2023-2024,28,es ESP,Las Palmas,es La Liga,26,737,8.2,6,20,10,4,1,5,3,1,1,0,FW
78,Oihan Sancet,4,"1,975",2023-2024,23,es ESP,Athletic Club,es La Liga,30,"1,975",21.9,25,5,1,4,5,9,4,0,1,1,MF
