,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
470,Víctor Ruiz,0,560,2022-2023,33,es ESP,Betis,es La Liga,10,560,6.2,5,5,14,0,0,0,0,0,0,0,DF
471,Diego Collado,0,6,2022-2023,21,es ESP,Villarreal,es La Liga,2,6,0.1,0,2,1,0,0,0,0,0,0,0,FW
472,Yunus Musah,0,"2,110",2022-2023,19,us USA,Valencia,es La Liga,33,"2,110",23.4,26,7,1,0,2,2,0,0,0,0,MF
473,Franco Russo,0,145,2022-2023,27,ar ARG,Mallorca,es La Liga,3,145,1.6,2,1,13,0,0,0,0,0,0,0,DF
474,Luis Pérez,0,"1,213",2022-2023,27,es ESP,Valladolid,es La Liga,18,"1,213",13.5,15,3,6,0,1,1,0,0,0,0,DF
475,Jon Morcillo,0,76,2022-2023,23,es ESP,Athletic Club,es La Liga,10,76,0.8,0,10,9,0,1,1,0,0,0,0,"FW,MF"
476,Martin Hongla,0,"1,306",2022-2023,24,cm CMR,Valladolid,es La Liga,16,"1,306",14.5,15,1,0,0,0,0,0,0,0,0,"DF,MF"
477,Aitor Paredes,0,859,2022-2023,22,es ESP,Athletic Club,es La Liga,16,859,9.5,9,7,22,0,0,0,0,0,0,0,DF
478,Alejandro Alfaro,0,15,2022-2023,20,es ESP,Elche,es La Liga,1,15,0.2,0,1,1,0,0,0,0,0,0,0,MF
479,Mickael Malsa,0,69,2022-2023,26,mq MTQ,Valladolid,es La Liga,5,69,0.8,0,5,9,0,0,0,0,0,0,0,MF
480,Sergi Gómez,0,"2,339",2022-2023,30,es ESP,Espanyol,es La Liga,29,"2,339",26,26,3,4,0,0,0,0,0,0,0,DF
481,Gonzalo Villar,0,457,2022-2023,24,es ESP,Getafe,es La Liga,16,457,5.1,3,13,5,0,0,0,0,0,0,0,MF
482,Unai Núñez,0,"3,151",2022-2023,25,es ESP,Celta Vigo,es La Liga,36,"3,151",35,35,1,1,0,0,0,0,0,0,0,DF
483,Iddrisu Baba,0,"1,705",2022-2023,26,gh GHA,Mallorca,es La Liga,29,"1,705",18.9,20,9,6,0,0,0,0,0,0,0,"MF,DF"
484,Iker Muniain,0,"1,689",2022-2023,29,es ESP,Athletic Club,es La Liga,30,"1,689",18.8,19,11,2,0,3,3,0,0,0,0,"MF,FW"
485,Dani Ceballos,0,"1,564",2022-2023,25,es ESP,Real Madrid,es La Liga,30,"1,564",17.4,19,11,3,0,4,4,0,0,0,0,MF
486,Reinildo Mandava,0,"1,857",2022-2023,28,mz MOZ,Atlético Madrid,es La Liga,22,"1,857",20.6,22,0,1,0,0,0,0,0,0,0,DF
487,Jesús Vallejo,0,22,2022-2023,25,es ESP,Real Madrid,es La Liga,1,22,0.2,0,1,35,0,0,0,0,0,0,0,DF
