,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
23,Daiki Hashioka,595,0,8,80.5,50,50,184,8,11,2023-2024,24,jp JPN,Luton Town,eng Premier League,10,595,6.6,6,4,3,0,0,0,0,0,0,0,227,282,80.5,3,14,4,3,21,3875,1580,101,108,93.5,107,126,84.9,16,34,47.1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,184,799,303,3,3,0,8,6,206,16,2,1,50,1,50,11,5,6,4,1,5,11,45.5,6,12,7,5,8,19,20,0,12,12,50,DF
24,Jean-Ricner Bellegarde,958,2,30,76.8,23.5,43.6,268,8,17,2023-2024,25,fr FRA,Wolves,eng Premier League,22,958,10.6,10,12,0,2,1,3,2,0,0,0,241,314,76.8,12,17,7,0,39,3452,786,144,161,89.4,76,98,77.6,14,29,48.3,30,20,2,6,1,1,0,2,1,0,1,0,0,0,268,1850,880,30,28,5,25,19,302,49,39,17,43.6,17,43.6,17,10,9,6,2,7,15,46.7,8,18,2,16,8,25,14,0,8,26,23.5,"MF,FW"
25,Reece James,419,3,15,80.6,61.5,60,217,3,14,2023-2024,23,eng ENG,Chelsea,eng Premier League,10,419,4.7,5,5,0,0,2,2,0,0,0,0,275,341,80.6,11,21,6,3,21,4433,1383,144,163,88.3,104,130,80,19,34,55.9,15,13,1,0,1,0,0,3,2,0,0,1,0,0,217,1061,548,19,8,3,6,6,245,35,15,9,60,4,26.7,14,9,10,3,1,8,10,80,2,4,4,0,3,17,7,1,8,5,61.5,DF
26,Jacob Ramsey,853,3,29,79.8,62.5,40,272,3,16,2023-2024,22,eng ENG,Aston Villa,eng Premier League,16,853,9.5,8,8,0,1,1,2,1,0,0,0,257,322,79.8,10,22,5,0,28,3751,863,143,173,82.7,97,115,84.3,9,12,75,29,23,2,1,2,0,1,3,2,1,0,0,0,0,272,1785,843,33,19,11,18,21,314,69,20,8,40,11,55,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0,5,3,62.5,"FW,MF"
27,Julián Álvarez,"2,647",15,118,80.4,14.3,47.6,914,2,24,2023-2024,23,ar ARG,Manchester City,eng Premier League,36,"2,647",29.4,31,5,2,11,8,19,9,2,2,0,1011,1258,80.4,67,43,41,4,103,13977,2992,615,679,90.6,272,328,82.9,58,145,40,118,74,28,4,10,2,0,15,12,1,0,0,2,0,914,4459,2092,64,59,28,56,36,1103,180,42,20,47.6,22,52.4,24,13,5,8,11,8,32,25,24,30,0,30,2,26,14,1,4,24,14.3,"MF,FW"
28,James Tarkowski,"3,419",3,44,77.1,69.7,80,918,56,61,2023-2024,30,eng ENG,Everton,eng Premier League,38,"3,419",38,38,0,0,1,1,2,1,0,0,0,1195,1550,77.1,22,127,23,3,130,25219,10527,396,474,83.5,588,683,86.1,196,335,58.5,44,38,0,1,4,0,1,3,3,0,0,0,0,0,918,5010,3073,15,12,0,16,16,1076,20,20,16,80,4,20,61,42,46,14,1,27,48,56.3,21,82,56,26,56,117,191,2,140,61,69.7,DF
29,Callum Hudson-Odoi,"1,854",6,82,78,22.2,53.8,648,7,18,2023-2024,22,eng ENG,Nott'ham Forest,eng Premier League,29,"1,854",20.6,20,9,1,8,1,9,8,0,0,0,576,738,78,36,20,32,8,58,9055,1826,327,361,90.6,187,251,74.5,46,83,55.4,82,63,4,8,4,2,1,6,4,0,1,0,1,0,648,5053,3054,111,57,39,34,33,704,173,80,43,53.8,27,33.8,18,8,4,5,9,7,28,25,21,16,1,15,7,25,12,1,2,7,22.2,"FW,MF"
30,Moisés Caicedo,"2,866",12,66,90,49.2,46.4,1378,37,91,2023-2024,21,ec ECU,Chelsea,eng Premier League,35,"2,866",31.8,33,2,0,1,3,4,1,0,0,0,1907,2119,90,23,176,20,0,173,29696,8181,1046,1120,93.4,673,726,92.7,124,162,76.5,66,52,0,3,1,6,4,12,11,0,0,0,0,1,1378,5497,2466,27,31,1,36,24,1828,27,56,26,46.4,24,42.9,91,46,38,42,11,36,60,60,24,59,25,34,37,128,44,4,30,31,49.2,MF
31,Hwang Hee-chan,"2,119",9,48,77,13.7,52.2,478,10,20,2023-2024,27,kr KOR,Wolves,eng Premier League,29,"2,119",23.5,25,4,0,12,3,15,11,1,1,0,424,551,77,17,19,7,2,37,5661,1028,256,312,82.1,131,162,80.9,13,21,61.9,48,29,0,8,6,4,1,9,4,0,3,1,1,0,478,2586,999,37,21,24,55,31,564,120,69,36,52.2,30,43.5,20,10,11,8,1,9,24,37.5,15,19,1,18,10,30,9,0,7,44,13.7,"FW,MF"
32,Álex Moreno,"1,031",1,22,79,28.6,42.9,364,13,18,2023-2024,30,es ESP,Aston Villa,eng Premier League,21,"1,031",11.5,11,10,4,2,0,2,2,0,0,0,428,542,79,11,10,13,2,24,6466,1602,235,264,89,171,210,81.4,17,30,56.7,22,19,0,2,1,0,0,1,1,0,0,0,0,0,364,2332,1106,32,20,10,14,6,383,83,35,15,42.9,17,48.6,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0,4,10,28.6,DF
