,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
84,Lucas Vázquez,4,"1,144",2022-2023,31,es ESP,Real Madrid,es La Liga,23,"1,144",12.7,12,11,9,4,1,5,4,0,0,0,DF
85,Nemanja Gudelj,3,"2,779",2022-2023,30,rs SRB,Sevilla,es La Liga,34,"2,779",30.9,31,3,2,3,1,4,3,0,0,0,"DF,MF"
86,Rubén Alcaraz,3,"2,043",2022-2023,31,es ESP,Cádiz,es La Liga,31,"2,043",22.7,22,9,0,3,0,3,1,2,3,1,MF
87,Srđan Babić,3,"2,998",2022-2023,26,rs SRB,Almería,es La Liga,34,"2,998",33.3,33,1,3,3,0,3,3,0,0,0,DF
88,Joseph Aidoo,3,"3,119",2022-2023,26,gh GHA,Celta Vigo,es La Liga,35,"3,119",34.7,35,0,0,3,0,3,3,0,0,0,DF
89,Rubén Sobrino,3,"2,465",2022-2023,30,es ESP,Cádiz,es La Liga,33,"2,465",27.4,28,5,1,3,2,5,3,0,0,0,"MF,FW"
90,Ander Barrenetxea,3,878,2022-2023,20,es ESP,Real Sociedad,es La Liga,23,878,9.8,9,14,5,3,1,4,3,0,0,0,"FW,DF"
91,César Montes,3,"1,590",2022-2023,25,mx MEX,Espanyol,es La Liga,20,"1,590",17.7,18,2,0,3,0,3,3,0,0,0,DF
92,Carmona,3,"1,116",2022-2023,20,es ESP,2 Teams,es La Liga,19,"1,116",12.4,13,6,5,3,1,4,3,0,0,0,"MF,DF"
93,Sergi Guardiola,3,"1,667",2022-2023,31,es ESP,2 Teams,es La Liga,31,"1,667",18.5,22,9,3,3,0,3,3,0,0,0,FW
94,Mario Hermoso,3,"2,110",2022-2023,27,es ESP,Atlético Madrid,es La Liga,26,"2,110",23.4,24,2,10,3,2,5,3,0,0,0,DF
95,Óliver Torres,3,"2,137",2022-2023,27,es ESP,Sevilla,es La Liga,32,"2,137",23.7,27,5,6,3,1,4,3,0,0,0,"MF,FW"
96,Moi Gómez,3,"2,453",2022-2023,28,es ESP,Osasuna,es La Liga,33,"2,453",27.3,28,5,1,3,2,5,3,0,0,0,"MF,FW"
97,Étienne Capoue,3,"1,955",2022-2023,34,fr FRA,Villarreal,es La Liga,28,"1,955",21.7,22,6,1,3,0,3,3,0,0,0,MF
98,Santi Comesaña,3,"2,451",2022-2023,25,es ESP,Rayo Vallecano,es La Liga,35,"2,451",27.2,29,6,0,3,2,5,3,0,0,0,MF
99,Umar Sadiq,3,322,2022-2023,25,ng NGA,2 Teams,es La Liga,5,322,3.6,4,1,0,3,0,3,3,0,0,0,FW
100,Dani Rodríguez,3,"2,100",2022-2023,34,es ESP,Mallorca,es La Liga,35,"2,100",23.3,26,9,0,3,6,9,3,0,0,0,MF
101,Daniel Parejo,3,"3,285",2022-2023,33,es ESP,Villarreal,es La Liga,37,"3,285",36.5,37,0,0,3,4,7,1,2,4,2,MF
102,Aimar Oroz,3,"2,013",2022-2023,20,es ESP,Osasuna,es La Liga,31,"2,013",22.4,23,8,2,3,6,9,2,1,1,0,"MF,FW"
103,Marcos Acuña,3,"1,912",2022-2023,30,ar ARG,Sevilla,es La Liga,30,"1,912",21.2,21,9,0,3,2,5,3,0,0,0,DF
104,Ayoze Pérez,3,"1,386",2022-2023,29,es ESP,Betis,es La Liga,19,"1,386",15.4,17,2,0,3,1,4,3,0,0,0,"FW,MF"
105,Munir El Haddadi,3,"1,150",2022-2023,26,ma MAR,2 Teams,es La Liga,28,"1,150",12.8,10,18,5,3,1,4,3,0,0,0,"MF,FW"
106,Monchu,3,"2,031",2022-2023,22,es ESP,Valladolid,es La Liga,33,"2,031",22.6,23,10,3,3,2,5,3,0,0,0,MF
107,Lucas Pérez,3,628,2022-2023,33,es ESP,Cádiz,es La Liga,14,628,7,5,9,1,3,0,3,3,0,0,0,FW
108,Haris Seferović,3,887,2022-2023,30,ch SUI,Celta Vigo,es La Liga,18,887,9.9,10,8,1,3,1,4,3,0,0,0,FW
109,Carles Pérez,3,"2,144",2022-2023,24,es ESP,Celta Vigo,es La Liga,35,"2,144",23.8,23,12,1,3,5,8,3,0,0,0,"MF,FW"
110,Álex Fernández,3,"1,576",2022-2023,29,es ESP,Cádiz,es La Liga,28,"1,576",17.5,17,11,3,3,0,3,2,1,1,0,"MF,FW"
111,Iván Martín,3,"1,586",2022-2023,23,es ESP,Girona,es La Liga,24,"1,586",17.6,18,6,7,3,3,6,3,0,0,0,MF
112,Mikel Vesga,3,"2,575",2022-2023,29,es ESP,Athletic Club,es La Liga,36,"2,575",28.6,28,8,0,3,3,6,1,2,3,1,MF
113,Saúl Ñíguez,3,"1,100",2022-2023,27,es ESP,Atlético Madrid,es La Liga,31,"1,100",12.2,11,20,6,3,1,4,3,0,0,0,"MF,DF"
114,Arnau Martinez,3,"2,732",2022-2023,19,es ESP,Girona,es La Liga,33,"2,732",30.4,32,1,3,3,4,7,3,0,0,0,DF
115,Diego López,3,447,2022-2023,20,es ESP,Valencia,es La Liga,10,447,5,5,5,0,3,1,4,3,0,0,0,"FW,MF"
116,Largie Ramazani,3,"1,403",2022-2023,21,be BEL,Almería,es La Liga,33,"1,403",15.6,13,20,4,3,1,4,3,0,1,1,"FW,MF"
117,Mouctar Diakhaby,3,"2,446",2022-2023,25,gn GUI,Valencia,es La Liga,29,"2,446",27.2,28,1,4,3,0,3,3,0,0,0,DF
