,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
93,Adrián González,3,"2,340",2017-2018,29,es ESP,Málaga,es La Liga,29,"2,340",26,27,2,3,3,0,3,2,1,1,0,"MF,FW"
94,Alfonso Pedraza,3,"2,440",2017-2018,21,es ESP,Alavés,es La Liga,33,"2,440",27.1,27,6,2,3,5,8,3,0,0,0,"MF,DF"
95,Borja Mayoral,3,345,2017-2018,20,es ESP,Real Madrid,es La Liga,14,345,3.8,3,11,10,3,1,4,3,0,0,0,"FW,MF"
96,Pablo Hernández,3,"1,819",2017-2018,30,cl CHI,Celta Vigo,es La Liga,30,"1,819",20.2,18,12,4,3,2,5,3,0,0,0,MF
97,Coke,3,"1,383",2017-2018,30,es ESP,Levante,es La Liga,17,"1,383",15.4,16,1,3,3,0,3,3,0,0,0,DF
98,Markel Susaeta,3,"2,264",2017-2018,29,es ESP,Athletic Club,es La Liga,34,"2,264",25.2,26,8,4,3,2,5,3,0,0,0,"FW,MF"
99,Pablo Fornals,3,"2,620",2017-2018,21,es ESP,Villarreal,es La Liga,35,"2,620",29.1,30,5,0,3,12,15,3,0,0,0,"MF,FW"
100,Zouhair Feddal,3,"1,257",2017-2018,28,ma MAR,Betis,es La Liga,15,"1,257",14,14,1,1,3,0,3,3,0,0,0,DF
101,Manu Trigueros,3,"2,698",2017-2018,25,es ESP,Villarreal,es La Liga,34,"2,698",30,32,2,0,3,4,7,2,1,2,1,MF
102,John Guidetti,3,"1,337",2017-2018,25,se SWE,2 Teams,es La Liga,25,"1,337",14.9,15,10,3,3,3,6,3,0,0,0,FW
103,Diego Costa,3,"1,041",2017-2018,28,es ESP,Atlético Madrid,es La Liga,15,"1,041",11.6,13,2,0,3,3,6,3,0,0,0,FW
104,Ousmane Dembélé,3,925,2017-2018,20,fr FRA,Barcelona,es La Liga,17,925,10.3,12,5,3,3,6,9,3,0,0,0,"FW,MF"
105,Celso Borges,3,"2,300",2017-2018,29,cr CRC,La Coruña,es La Liga,32,"2,300",25.6,26,6,2,3,3,6,3,0,0,0,MF
106,Sergi Enrich,3,"1,330",2017-2018,27,es ESP,Eibar,es La Liga,19,"1,330",14.8,14,5,1,3,1,4,3,0,0,0,FW
107,Diego Llorente,3,"2,326",2017-2018,23,es ESP,Real Sociedad,es La Liga,27,"2,326",25.8,26,1,8,3,0,3,3,0,0,0,DF
108,Fabián Ruiz Peña,3,"2,659",2017-2018,21,es ESP,Betis,es La Liga,34,"2,659",29.5,30,4,2,3,6,9,3,0,0,0,MF
109,Fabián Orellana,3,"1,180",2017-2018,31,cl CHI,2 Teams,es La Liga,17,"1,180",13.1,13,4,1,3,2,5,3,0,0,0,"MF,FW"
110,Xabi Prieto,3,"1,929",2017-2018,33,es ESP,Real Sociedad,es La Liga,26,"1,929",21.4,24,2,0,3,5,8,2,1,1,0,"MF,FW"
111,Iván Ramis,3,"1,302",2017-2018,32,es ESP,Eibar,es La Liga,16,"1,302",14.5,15,1,4,3,0,3,3,0,0,0,DF
112,Yannick Carrasco,3,901,2017-2018,23,be BEL,Atlético Madrid,es La Liga,17,901,10,8,9,4,3,4,7,3,0,0,0,"MF,FW"
113,Amath,3,"2,859",2017-2018,21,sn SEN,Getafe,es La Liga,37,"2,859",31.8,36,1,0,3,3,6,3,0,0,0,"MF,FW"
114,Aritz Elustondo,3,"1,596",2017-2018,23,es ESP,Real Sociedad,es La Liga,19,"1,596",17.7,18,1,14,3,2,5,3,0,0,0,DF
115,Éver Banega,3,"2,399",2017-2018,29,ar ARG,Sevilla,es La Liga,31,"2,399",26.7,25,6,1,3,3,6,0,3,3,0,MF
116,Denis Cheryshev,2,926,2017-2018,26,ru RUS,Villarreal,es La Liga,24,926,10.3,9,15,3,2,1,3,2,0,0,0,"MF,FW"
117,Ryad Boudebouz,2,"1,360",2017-2018,27,dz ALG,Betis,es La Liga,27,"1,360",15.1,15,12,3,2,3,5,2,0,0,0,"MF,FW"
118,Denis Suárez,2,595,2017-2018,23,es ESP,Barcelona,es La Liga,18,595,6.6,4,14,9,2,2,4,2,0,0,0,"MF,FW"
119,David Timor,2,925,2017-2018,27,es ESP,Girona,es La Liga,17,925,10.3,10,7,10,2,0,2,2,0,0,0,"MF,DF"
120,Ganso,2,519,2017-2018,27,br BRA,Sevilla,es La Liga,8,519,5.8,7,1,6,2,0,2,2,0,0,0,MF
121,Junior Firpo,2,"1,189",2017-2018,20,do DOM,Betis,es La Liga,14,"1,189",13.2,14,0,1,2,2,4,2,0,0,0,DF
122,Luciano Vietto,2,797,2017-2018,23,ar ARG,2 Teams,es La Liga,20,797,8.9,9,11,12,2,1,3,2,0,0,0,FW
123,Sergio García,2,"1,641",2017-2018,34,es ESP,Espanyol,es La Liga,33,"1,641",18.2,14,19,1,2,6,8,2,0,0,0,"FW,MF"
124,Álvaro Medrán,2,"1,019",2017-2018,23,es ESP,2 Teams,es La Liga,18,"1,019",11.3,10,8,5,2,0,2,2,0,0,0,MF
125,Nabil El Zhar,2,"1,981",2017-2018,30,ma MAR,Leganés,es La Liga,30,"1,981",22,20,10,1,2,2,4,2,0,0,0,"FW,MF"
126,Alexander,2,"1,060",2017-2018,28,ar ARG,Leganés,es La Liga,13,"1,060",11.8,13,0,0,2,2,4,1,1,1,0,"MF,FW"
