,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
259,Michel,0,"2,130",2017-2018,27,br BRA,Las Palmas,es La Liga,28,"2,130",23.7,26,2,3,0,1,1,0,0,0,0,DF
260,Omar Ramos,0,"1,448",2017-2018,29,es ESP,Leganés,es La Liga,23,"1,448",16.1,18,5,0,0,1,1,0,0,0,0,"FW,MF"
261,Ramiro Guerra,0,71,2017-2018,20,uy URU,Villarreal,es La Liga,4,71,0.8,0,4,9,0,0,0,0,0,0,0,MF
262,Sergio Araujo,0,39,2017-2018,25,ar ARG,Las Palmas,es La Liga,2,39,0.4,0,2,0,0,0,0,0,0,0,0,"MF,FW"
263,Federico Valverde,0,"1,233",2017-2018,19,uy URU,La Coruña,es La Liga,24,"1,233",13.7,12,12,4,0,0,0,0,0,0,0,"MF,FW"
264,Sébastien Corchia,0,821,2017-2018,26,fr FRA,Sevilla,es La Liga,12,821,9.1,9,3,6,0,1,1,0,0,0,0,DF
265,Andreu Fontàs,0,885,2017-2018,27,es ESP,Celta Vigo,es La Liga,12,885,9.8,9,3,17,0,1,1,0,0,0,0,DF
266,Daniel Molina Orta,0,5,2017-2018,21,es ESP,Celta Vigo,es La Liga,1,5,0.1,0,1,1,0,0,0,0,0,0,0,MF
267,Esteban Rolón,0,418,2017-2018,22,ar ARG,Málaga,es La Liga,8,418,4.6,6,2,13,0,0,0,0,0,0,0,MF
268,Aymeric Laporte,0,"1,710",2017-2018,23,es ESP,Athletic Club,es La Liga,19,"1,710",19,19,0,0,0,1,1,0,0,0,0,DF
269,Carles Gil,0,476,2017-2018,24,es ESP,La Coruña,es La Liga,10,476,5.3,6,4,4,0,1,1,0,0,0,0,"FW,MF"
270,Alberto Redondo,0,90,2017-2018,20,es ESP,Getafe,es La Liga,1,90,1,1,0,1,0,0,0,0,0,0,0,DF
271,Eloi Amagat,0,15,2017-2018,32,es ESP,Girona,es La Liga,2,15,0.2,0,2,2,0,0,0,0,0,0,0,MF
272,Daniele Bonera,0,"1,190",2017-2018,36,it ITA,Villarreal,es La Liga,15,"1,190",13.2,14,1,12,0,1,1,0,0,0,0,DF
273,Mathieu Flamini,0,480,2017-2018,33,fr FRA,Getafe,es La Liga,8,480,5.3,6,2,0,0,0,0,0,0,0,0,MF
274,Keko,0,"1,209",2017-2018,25,es ESP,Málaga,es La Liga,21,"1,209",13.4,15,6,7,0,2,2,0,0,0,0,"MF,FW"
275,Ignasi Miquel,0,"1,773",2017-2018,24,es ESP,Málaga,es La Liga,20,"1,773",19.7,20,0,2,0,1,1,0,0,0,0,DF
276,Eneko Bóveda,0,"1,189",2017-2018,28,es ESP,2 Teams,es La Liga,14,"1,189",13.2,13,1,12,0,1,1,0,0,0,0,DF
277,André Gomes,0,635,2017-2018,24,pt POR,Barcelona,es La Liga,16,635,7.1,6,10,10,0,0,0,0,0,0,0,MF
278,Raúl García,0,"1,392",2017-2018,28,es ESP,Leganés,es La Liga,19,"1,392",15.5,15,4,14,0,2,2,0,0,0,0,DF
279,Lucas Digne,0,704,2017-2018,24,fr FRA,Barcelona,es La Liga,12,704,7.8,8,4,19,0,2,2,0,0,0,0,DF
280,Álvaro Odriozola,0,"2,918",2017-2018,21,es ESP,Real Sociedad,es La Liga,35,"2,918",32.4,32,3,1,0,4,4,0,0,0,0,DF
281,Sabin Merino,0,374,2017-2018,25,es ESP,Athletic Club,es La Liga,13,374,4.2,4,9,11,0,0,0,0,0,0,0,"FW,MF"
282,Rubén Duarte,0,"2,138",2017-2018,21,es ESP,Alavés,es La Liga,24,"2,138",23.8,24,0,2,0,2,2,0,0,0,0,DF
283,Mikel Balenziaga,0,"1,549",2017-2018,29,es ESP,Athletic Club,es La Liga,18,"1,549",17.2,18,0,0,0,2,2,0,0,0,0,DF
284,Mujaid Sadick,0,106,2017-2018,17,es ESP,La Coruña,es La Liga,2,106,1.2,1,1,0,0,0,0,0,0,0,0,DF
285,Nano,0,279,2017-2018,22,es ESP,Levante,es La Liga,9,279,3.1,2,7,3,0,0,0,0,0,0,0,FW
286,Dani Castellano,0,"2,025",2017-2018,29,es ESP,Las Palmas,es La Liga,24,"2,025",22.5,23,1,5,0,2,2,0,0,0,0,DF
287,Arona Sané,0,65,2017-2018,22,sn SEN,Atlético Madrid,es La Liga,1,65,0.7,0,1,1,0,0,0,0,0,0,0,"MF,FW"
288,Rubén Pardo,0,221,2017-2018,24,es ESP,Real Sociedad,es La Liga,6,221,2.5,3,3,10,0,1,1,0,0,0,0,MF
289,Fahad Al Muwallad,0,27,2017-2018,22,sa KSA,Levante,es La Liga,2,27,0.3,0,2,2,0,0,0,0,0,0,0,MF
290,Dani García,0,"2,775",2017-2018,27,es ESP,Eibar,es La Liga,32,"2,775",30.8,32,0,3,0,1,1,0,0,0,0,MF
291,Jony,0,217,2017-2018,26,es ESP,Málaga,es La Liga,5,217,2.4,1,4,1,0,0,0,0,0,0,0,"FW,MF"
292,David Simón,0,721,2017-2018,28,es ESP,Las Palmas,es La Liga,11,721,8,6,5,8,0,0,0,0,0,0,0,DF
293,Leonardo Suárez,0,29,2017-2018,21,ar ARG,Villarreal,es La Liga,1,29,0.3,0,1,1,0,0,0,0,0,0,0,MF
